condition,material,burst_kHz,member,capture_index,period_index,start_s,stop_s,midpoint_s,signed_raw_qv_energy_uJ,raw_qv_energy_uJ,apparent_power_using_capture_frequency_mW,detected_activity_on_fraction,closure_delta_V_kV,closure_delta_Q_nC,closure_contribution_fraction,detected_burst_Hz,detector_method,source_voltage_clipped,monitor_voltage_clipped,power_usable
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,0,3.4216000000000006e-05,0.00028412798,0.00015917199,3651.474086668312,3651.474086668312,14604.961629142637,0.19017895820760572,0.0,7.874016,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,1,0.00028423198,0.0005341439700000001,0.00040918797500000005,3726.3787404149207,3726.3787404149207,14904.56106976515,0.19017895059776815,0.0,-7.874016,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,2,0.00053424797,0.00078415996,0.000659203965,3639.1008278921167,3639.1008278921167,14555.471761389344,0.18143987409327578,-0.15748031,0.0,0.00017037209729404626,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,3,0.00078426396,0.00103417594,0.00090921995,3659.025731961986,3659.025731961986,14635.166277219883,0.18934662515978642,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,4,0.00103427994,0.00128419193,0.001159235935,3674.671403450588,3674.671403450588,14697.744958138772,0.18435289959477327,0.15748031,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,5,0.0012842959300000002,0.0015342079200000001,0.001409251925,3627.204315613901,3627.204315613901,14507.88875758868,0.18726592509627157,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,6,0.00153431192,0.0017842239,0.0016592679100000001,3677.1368150981743,3677.1368150981743,14707.605973624135,0.18393672044053272,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,7,0.0017843279000000001,0.0020342398899999997,0.0019092838949999998,3725.1314792645717,3725.1314792645717,14899.572344442173,0.18934665759734048,0.15748031,0.0,0.0001664374113406818,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,8,0.00203434389,0.0022842558799999997,0.002159299885,3671.5130932274546,3671.5130932274546,14685.112525721901,0.1839367530945586,-0.15748031,0.0,0.00016886804556305316,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,9,0.0022843598799999996,0.0025342718600000003,0.00240931587,3683.9907422095325,3683.9907422095325,14735.01992757654,0.18934662515978593,0.15748031,0.0,0.00016829609076070162,3999.7440163866904,current activity-envelope rising edges,False,False,True
