condition,material,burst_kHz,member,capture_index,burst_index,target_charge_polarity,pin_voltage_polarity,amplitude_kV,duration_s,midpoint_s,nominal_directed_terminal_charge_nC,passive_background_nC,terminal_excess_nC,model_factor,model_dependent_charge_nC,halfcycle_average_equivalent_flow_per_s,above_passive_resolution_threshold,background_model,evidence_tier,factor_source
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,0,negative,-1,4.080237053333334,4.735589231297707e-06,4.909496219967932e-05,317.5067748669752,98.53886154112307,218.96791332585212,1.0,218.96791332585212,2.8859982386279014e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,1,negative,-1,4.080237053333334,4.727753929447515e-06,0.0002991191790499185,323.50898703942937,99.21029807932133,224.29868896010805,1.0,224.29868896010805,2.961157292502671e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,2,negative,-1,4.132943277166667,4.727760263934324e-06,0.0005491351696843545,323.50831418322224,98.5593973650874,224.94891681813482,1.0,224.94891681813482,2.969737523116531e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,3,negative,-1,4.157213790333326,4.747751323817655e-06,0.0007991531619067564,308.33046870594654,99.36065937268147,208.96980933326506,1.0,208.96980933326506,2.7471678112094877e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,4,negative,-1,4.132935586666666,4.753703246771065e-06,0.0010491801137085801,316.2573840645341,99.4807371358448,216.7766469286893,1.0,216.7766469286893,2.846230272904857e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,5,negative,-1,4.080237053333334,4.7363474028889845e-06,0.0012992047816305214,321.2036421345177,98.37489177074053,222.82875036377715,1.0,222.82875036377715,2.936413968700737e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,6,negative,-1,4.132935586666666,4.7363474028889845e-06,0.0015492207716305214,318.5716957796425,99.23826072016485,219.33343505947764,1.0,219.33343505947764,2.8903530691633005e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,7,negative,-1,4.080237053333334,4.762296720007891e-06,0.0017992497262890807,324.1660032777506,99.83427067007557,224.331732607675,1.0,224.331732607675,2.940111939849873e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,8,negative,-1,4.080237053333334,4.736347402889418e-06,0.0020492527416305214,325.4864633572852,99.52307388350299,225.96338947378217,1.0,225.96338947378217,2.977721915069268e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,9,negative,-1,4.080237053333334,4.745008408869964e-06,0.0022992903504446497,332.70472090280447,99.12151828855241,233.58320261425206,1.0,233.58320261425206,3.072516533444177e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
