condition,material,burst_kHz,member,capture_index,carrier_Hz,detected_burst_Hz,burst_detection_method,burst_frequency_relative_error,voltage_pp_kV,locked_charge_sign,file_sign_vote,sign_vote_disagrees,charge_lsb_nC,complex_fit_residual_rms_nC,complex_fit_signal_codes,raw_qv_energy_per_burst_uJ,burst_energy_median_uJ,apparent_lissajous_power_mW,detected_activity_on_fraction,duty_on_fraction,duty_envelope_contrast,source_voltage_clipped,current_clipped,monitor_voltage_clipped,negative_peak_envelope_halfcycle_median_nC,negative_peak_envelope_halfcycle_p95_nC,negative_all_halfcycle_p95_nC,negative_record_total_nC,negative_record_average_equivalent_flow_per_s,negative_peak_halfcycle_average_equivalent_flow_p95_per_s,negative_resolved_halfcycles,negative_total_halfcycles,negative_resolved_halfcycle_fraction,negative_peak_charge_resolution_threshold_nC,negative_peak_rate_resolution_threshold_per_s,positive_peak_envelope_halfcycle_median_nC,positive_peak_envelope_halfcycle_p95_nC,positive_all_halfcycle_p95_nC,positive_record_total_nC,positive_record_average_equivalent_flow_per_s,positive_peak_halfcycle_average_equivalent_flow_p95_per_s,positive_resolved_halfcycles,positive_total_halfcycles,positive_resolved_halfcycle_fraction,positive_peak_charge_resolution_threshold_nC,positive_peak_rate_resolution_threshold_per_s,transport_imbalance_nC
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,127994.47063898804,3999.7440163866904,current activity-envelope rising edges,6.399590332739535e-05,8.0554874,1,-1,True,7.9047679999999945,20.20334854120796,30.18300222551792,3681.4621750438478,3681.4621750438478,14724.90630618556,0.1876820715964842,0.1876820715964842,0.8810715114153538,False,False,False,224.29868896010805,235.86920286063815,192.06171474057086,28585.624031952582,1.7841158952864502e+16,3.123711865256315e+17,199.0,1204.0,0.16528239202657807,19.812896135455993,2.6311421563541412e+16,19.909106990137218,35.6824233216519,239.40912744956762,26558.162133581194,1.6575758205996514e+16,7.300156155707307e+16,158.0,768.0,0.20572916666666666,28.207727140681747,5.839210071949976e+16,-2027.461898371388
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,19.90299260408007,31.323541567945277,3705.2795048792304,3705.2795048792304,14820.16952868094,0.19309194381157732,0.19309194381157732,0.8733093588537105,False,False,False,233.60017410954416,247.1546162866187,191.234667296956,28611.596432364277,1.7857369119331904e+16,3.243470290229897e+17,208.0,1120.0,0.18571428571428572,19.812896135455993,2.6176821856752436e+16,26.394584442340346,38.28897548759812,312.6139286857022,26131.18866733448,1.6309271055971444e+16,7.953785704551346e+16,174.0,613.0,0.2838499184339315,28.207727140681747,5.875725372027231e+16,-2480.407765029795
5mM_Mn_nitrate_in_water_10kHz,5mM_Mn_nitrate_in_water,10,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_01.csv,1,119994.81622405129,10005.603137766497,voltage activity-envelope rising edges,0.000560313776649673,7.739296200000001,1,-1,True,7.9047679999999945,22.019864618798973,42.70185027218025,2538.4021586714853,2538.4021586714853,25398.24460371666,0.33437493333082013,0.33437493333082013,0.8386342690814058,False,False,False,130.26586668811126,142.2575148485676,139.58511863639797,40490.818778235196,2.527155374137131e+16,1.8642696158966726e+17,433.0,1173.0,0.3691389599317988,19.812896135455993,2.6305916337272304e+16,205.60228496185803,224.76299927456793,214.26436390214695,39932.4173861575,2.4923038418269636e+16,3.072303176227905e+17,275.0,1022.0,0.2690802348336595,28.207727140681747,5.82281166289976e+16,-558.4013920776997
5mM_Mn_nitrate_in_water_10kHz,5mM_Mn_nitrate_in_water,10,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_64.csv,64,119994.81622405129,9995.202302903954,voltage activity-envelope rising edges,0.00047976970960462496,7.739296200000001,1,-1,True,7.9047679999999945,21.90825159185574,43.02952302286044,2515.588917693612,2515.588917693612,25143.820143290854,0.3329865057418673,0.3329865057418673,0.8405183858698896,False,False,False,127.49102753267636,137.81092702257357,136.50830620119189,39806.80989299919,2.4844642954570704e+16,1.8012687239565475e+17,434.0,1137.0,0.3817062445030783,19.812896135455993,2.627018997046756e+16,201.25370509023298,216.0314907113157,209.82330273225202,39181.251159781365,2.4454212688601468e+16,2.933800664649415e+17,286.0,1018.0,0.28094302554027506,28.207727140681747,5.819891538852244e+16,-625.5587332178256
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure20kHz-0003/Lissajousfigure20kHz-0003_01.csv,1,119994.81622405129,19990.404605807908,voltage activity-envelope rising edges,0.00047976970960462496,8.21358276,1,-1,True,7.9047679999999945,47.25634067859658,47.82744289687193,3531.909097876263,3531.909097876263,70604.2918974805,0.4833333333333229,0.4833333333333229,0.7882654100859672,False,False,False,290.1189797239527,299.3628285960079,295.686225138331,114225.96463472935,7.129190495595006e+16,4.251164806149415e+17,871.0,871.0,1.0,19.812896135455993,2.825509182920161e+16,76.33344856458729,87.3837597640419,306.4597412533825,114581.03079969037,7.151351256825101e+16,1.1420734421090733e+17,993.0,1051.0,0.9448144624167459,28.207727140681747,3.824608275717762e+16,355.0661649610265
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure20kHz-0003/Lissajousfigure20kHz-0003_64.csv,64,119994.81622405129,19990.404605807908,voltage activity-envelope rising edges,0.00047976970960462496,8.21358276,1,-1,True,7.9047679999999945,47.94405201062601,46.95204215946164,3537.5643403669906,3537.5643403669906,70717.3424830141,0.4812499999999915,0.4812499999999915,0.7739893950852572,False,False,False,289.22871269201323,300.72310248628844,294.6107134974346,116574.12656874521,7.275746436668794e+16,4.262774885086338e+17,991.0,995.0,0.9959798994974874,19.812896135455993,2.8322735689993748e+16,78.26858561257086,88.44062012395332,302.4109537269481,112981.72617310456,7.051533782051506e+16,1.190087608318278e+17,1000.0,1048.0,0.9541984732824428,28.207727140681747,3.96650513761071e+16,-3592.4003956406523
BMIM_nitrate_4kHz,BMIM_nitrate,4,Lissajouswaveformsdifferentmediums/ionic liquid/Lissajousfigure4kHz-0008/Lissajousfigure4kHz-0008_01.csv,1,127994.47063898804,3999.7440163866904,current activity-envelope rising edges,6.399590332739535e-05,7.265625,1,-1,True,7.9047679999999945,28.949547262308727,28.60993142651703,3009.392815057257,3009.392815057257,12036.800904982361,0.18060754830560552,0.18060754830560552,0.8793638996147795,False,False,False,319.44124133112626,332.93366915378147,119.20297993674012,27304.023043128283,1.704127272578042e+16,4.194162754781499e+17,152.0,1200.0,0.12666666666666668,28.937063490823643,3.6823054198618456e+16,80.621445724459,95.66060422806615,88.89705938920939,25811.15577471022,1.6109528776388108e+16,1.8404201098255773e+17,117.0,888.0,0.13175675675675674,40.3138243572825,8.025962921946475e+16,-1492.8672684180638
BMIM_nitrate_4kHz,BMIM_nitrate,4,Lissajouswaveformsdifferentmediums/ionic liquid/Lissajousfigure4kHz-0008/Lissajousfigure4kHz-0008_64.csv,64,127994.47063898804,3999.7440163866904,current activity-envelope rising edges,6.399590332739535e-05,7.265625,1,-1,True,7.9047679999999945,29.952411144759278,28.431020448204155,2986.842177682173,2986.842177682173,11946.604128075664,0.183520606594347,0.183520606594347,0.8816592990296783,False,False,False,312.52738228118176,327.98597855165235,114.59109143961066,26899.966154749003,1.6789088510262976e+16,4.1236518284680083e+17,155.0,1196.0,0.12959866220735786,28.937063490823643,3.669123053556881e+16,78.19406745510071,95.3273839096549,93.04417302462838,25325.511865958288,1.5806423615526526e+16,1.8895901004905322e+17,130.0,860.0,0.1511627906976744,40.3138243572825,8.011600208446947e+16,-1574.4542887907155
BMIM_nitrate_10kHz,BMIM_nitrate,10,Lissajouswaveformsdifferentmediums/ionic liquid/Lissajousfigure10kHz-0007/Lissajousfigure10kHz-0007_01.csv,1,119994.81622405129,10005.603137766497,voltage activity-envelope rising edges,0.000560313776649673,7.26500988,1,-1,True,7.9047679999999945,44.33402002579372,43.01534209020199,3027.2137712626413,3027.2137712626413,30289.099608435434,0.30312500000000225,0.30312500000000225,0.8483705709301628,False,False,False,314.46747500943405,335.2821277177786,311.4691745155782,58450.89328800777,3.648098348045877e+16,4.361544936557361e+17,365.0,1109.0,0.3291253381424707,28.937063490823643,3.827749524715836e+16,328.2439069993957,339.9770340580867,334.5879752662489,54242.77663121566,3.3854569655030156e+16,4.4219831381499104e+17,239.0,1135.0,0.2105726872246696,40.3138243572825,8.034544347170595e+16,-4208.11665679211
BMIM_nitrate_10kHz,BMIM_nitrate,10,Lissajouswaveformsdifferentmediums/ionic liquid/Lissajousfigure10kHz-0007/Lissajousfigure10kHz-0007_64.csv,64,119994.81622405129,10005.603137766497,voltage activity-envelope rising edges,0.000560313776649673,7.26500988,1,-1,True,7.9047679999999945,43.09781985421605,42.87663255283812,3017.819065227398,3017.819065227398,30195.09990825081,0.3041665969718145,0.3041665969718145,0.8487936403637361,False,False,False,309.25984627971656,326.9253834070184,307.6449907699671,58899.68713010571,3.676108939191224e+16,4.317843316719953e+17,371.0,1128.0,0.32890070921985815,28.937063490823643,3.837790241791568e+16,328.49677123731556,339.83733152350146,335.78025559568607,54930.72747681939,3.4283940739406492e+16,4.432071292819488e+17,243.0,1123.0,0.2163846838824577,40.3138243572825,8.10113671042547e+16,-3968.9596532863216
