condition,condition_label,material,burst_kHz,polarity,n_captures,n_observations,early_window,late_window,within_capture_statistic,across_capture_statistic,uncertainty,first_quintile_nC,first_quintile_nC_ci_low,first_quintile_nC_ci_high,last_quintile_nC,last_quintile_nC_ci_low,last_quintile_nC_ci_high,absolute_drift_nC,absolute_drift_nC_ci_low,absolute_drift_nC_ci_high,relative_drift_fraction,relative_drift_fraction_ci_low,relative_drift_fraction_ci_high,slope_nC_per_s,slope_nC_per_s_ci_low,slope_nC_per_s_ci_high,relative_drift_percent,relative_drift_percent_ci_low,relative_drift_percent_ci_high,stationarity_status
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,2,78,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-73.52645491695112,-73.52645491695112,-73.52645491695112,-73.64152556473562,-73.64152556473562,-73.64152556473562,-0.11507064778449916,-0.11507064778449916,-0.11507064778449916,0.0016685456819750602,0.0016685456819750602,0.0016685456819750602,125.8170134074633,125.8170134074633,125.8170134074633,0.16685456819750602,0.16685456819750602,0.16685456819750602,decrease_detected_first_to_last_quintile
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,2,78,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,13.039896247911766,13.039896247911766,13.039896247911766,8.760529330291337,8.760529330291337,8.760529330291337,-4.279366917620429,-4.279366917620429,-4.279366917620429,-0.3490972995986555,-0.3490972995986555,-0.3490972995986555,-28.257665549501425,-28.257665549501425,-28.257665549501425,-34.90972995986555,-34.90972995986555,-34.90972995986555,decrease_detected_first_to_last_quintile
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,2,198,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-112.56258532580054,-112.56258532580054,-112.56258532580054,-114.72012490287483,-114.72012490287483,-114.72012490287483,-2.1575395770742958,-2.1575395770742958,-2.1575395770742958,-0.018853331569057188,-0.018853331569057188,-0.018853331569057188,-115.64894749735936,-115.64894749735936,-115.64894749735936,-1.8853331569057188,-1.8853331569057188,-1.8853331569057188,decrease_detected_first_to_last_quintile
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,positive,2,198,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-29.061181152718603,-29.061181152718603,-29.061181152718603,-30.6814542014697,-30.6814542014697,-30.6814542014697,-1.6202730487510948,-1.6202730487510948,-1.6202730487510948,-0.05463680822050733,-0.05463680822050733,-0.05463680822050733,-83.55637460730826,-83.55637460730826,-83.55637460730826,-5.463680822050733,-5.463680822050733,-5.463680822050733,decrease_detected_first_to_last_quintile
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20.0,negative,2,397,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,401.9124133475101,401.9124133475101,401.9124133475101,402.65672776914937,402.65672776914937,402.65672776914937,0.7443144216392739,0.7443144216392739,0.7443144216392739,0.0018328416917252311,0.0018328416917252311,0.0018328416917252311,89.3335887549006,89.3335887549006,89.3335887549006,0.1832841691725231,0.1832841691725231,0.1832841691725231,increase_detected_first_to_last_quintile
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20.0,positive,2,397,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,267.8352190302131,267.8352190302131,267.8352190302131,368.7715800983142,368.7715800983142,368.7715800983142,100.93636106810101,100.93636106810101,100.93636106810101,0.6376416130950417,0.6376416130950417,0.6376416130950417,674.3316063482939,674.3316063482939,674.3316063482939,63.764161309504175,63.764161309504175,63.764161309504175,increase_detected_first_to_last_quintile
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4.0,negative,2,78,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-254.80110795001556,-254.80110795001556,-254.80110795001556,-260.4472656393553,-260.4472656393553,-260.4472656393553,-5.646157689339745,-5.646157689339745,-5.646157689339745,-0.021939506706936396,-0.021939506706936396,-0.021939506706936396,-164.83678366760284,-164.83678366760284,-164.83678366760284,-2.1939506706936394,-2.1939506706936394,-2.1939506706936394,decrease_detected_first_to_last_quintile
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4.0,positive,2,78,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-73.39711766000241,-73.39711766000241,-73.39711766000241,-79.69809986281302,-79.69809986281302,-79.69809986281302,-6.300982202810609,-6.300982202810609,-6.300982202810609,-0.08012096982374464,-0.08012096982374464,-0.08012096982374464,-71.7563709008829,-71.7563709008829,-71.7563709008829,-8.012096982374464,-8.012096982374464,-8.012096982374464,decrease_detected_first_to_last_quintile
pure_water_10kHz,"Pure water, 10 kHz",pure_water,10.0,negative,2,198,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-234.81692155667082,-234.81692155667082,-234.81692155667082,-237.4457075592076,-237.4457075592076,-237.4457075592076,-2.6287860025367564,-2.6287860025367564,-2.6287860025367564,-0.011123427072185966,-0.011123427072185966,-0.011123427072185966,-169.3918876691455,-169.3918876691455,-169.3918876691455,-1.1123427072185965,-1.1123427072185965,-1.1123427072185965,decrease_detected_first_to_last_quintile
pure_water_10kHz,"Pure water, 10 kHz",pure_water,10.0,positive,2,198,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-93.10216406166836,-93.10216406166836,-93.10216406166836,-93.64587252171287,-93.64587252171287,-93.64587252171287,-0.5437084600445203,-0.5437084600445203,-0.5437084600445203,-0.005813697611462929,-0.005813697611462929,-0.005813697611462929,-146.36508479129293,-146.36508479129293,-146.36508479129293,-0.5813697611462929,-0.5813697611462929,-0.5813697611462929,decrease_detected_first_to_last_quintile
