condition,condition_label,material,burst_kHz,n_max_files,raw_qv_energy_per_burst_uJ,raw_qv_energy_per_burst_uJ_ci_low,raw_qv_energy_per_burst_uJ_ci_high,raw_qv_energy_per_burst_uJ_n_captures,apparent_lissajous_power_mW,apparent_lissajous_power_mW_ci_low,apparent_lissajous_power_mW_ci_high,apparent_lissajous_power_mW_n_captures,detected_activity_on_fraction,detected_activity_on_fraction_ci_low,detected_activity_on_fraction_ci_high,detected_activity_on_fraction_n_captures,burst_energy_median_uJ,burst_energy_median_uJ_ci_low,burst_energy_median_uJ_ci_high,duty_on_fraction,duty_on_fraction_ci_low,duty_on_fraction_ci_high,raw_qv_energy_definition,duty_fraction_definition,duty_detector_channel_mode,duty_detector_channel_agreement,raw_qv_closure_contribution_fraction_median,raw_qv_closure_contribution_fraction_p95
5mM_Mn_nitrate_in_water_4kHz,"5 mM Mn nitrate, 4 kHz",5mM_Mn_nitrate_in_water,4,2,3693.370839961539,3693.370839961539,3693.370839961539,2,14772.53791743325,14772.53791743325,14772.53791743325,2,0.19038700770403078,0.19038700770403078,0.19038700770403078,2,3693.370839961539,3693.370839961539,3693.370839961539,0.19038700770403078,0.19038700770403078,0.19038700770403078,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,current,0.5,0.0,0.0001680041110801867
5mM_Mn_nitrate_in_water_10kHz,"5 mM Mn nitrate, 10 kHz",5mM_Mn_nitrate_in_water,10,2,2526.9955381825484,2526.9955381825484,2526.9955381825484,2,25271.032373503756,25271.032373503756,25271.032373503756,2,0.3336807195363437,0.3336807195363437,0.3336807195363437,2,2526.9955381825484,2526.9955381825484,2526.9955381825484,0.3336807195363437,0.3336807195363437,0.3336807195363437,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.0,0.0007404828562112237
5mM_Mn_nitrate_in_water_20kHz,"5 mM Mn nitrate, 20 kHz",5mM_Mn_nitrate_in_water,20,2,3534.7367191216267,3534.7367191216267,3534.7367191216267,2,70660.8171902473,70660.8171902473,70660.8171902473,2,0.48229166666665724,0.48229166666665724,0.48229166666665724,2,3534.7367191216267,3534.7367191216267,3534.7367191216267,0.48229166666665724,0.48229166666665724,0.48229166666665724,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.0,0.000702136468922373
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4,2,2998.117496369715,2998.117496369715,2998.117496369715,2,11991.702516529012,11991.702516529012,11991.702516529012,2,0.18206407744997627,0.18206407744997627,0.18206407744997627,2,2998.117496369715,2998.117496369715,2998.117496369715,0.18206407744997627,0.18206407744997627,0.18206407744997627,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,current,1.0,0.0,0.0002076228204703441
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10,2,3022.51641824502,3022.51641824502,3022.51641824502,2,30242.099758343124,30242.099758343124,30242.099758343124,2,0.30364579848590834,0.30364579848590834,0.30364579848590834,2,3022.51641824502,3022.51641824502,3022.51641824502,0.30364579848590834,0.30364579848590834,0.30364579848590834,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.0,0.00041798510522861754
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20,2,3235.7386682713905,3235.7386682713905,3235.7386682713905,2,64683.725177403154,64683.725177403154,64683.725177403154,2,0.47916661449984965,0.47916661449984965,0.47916661449984965,2,3235.7386682713905,3235.7386682713905,3235.7386682713905,0.47916661449984965,0.47916661449984965,0.47916661449984965,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.0,0.0005846845873208288
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4,2,7794.931645352477,7794.931645352477,7794.931645352477,2,31177.73120664183,31177.73120664183,31177.73120664183,2,0.4196837338428514,0.4196837338428514,0.4196837338428514,2,7794.931645352477,7794.931645352477,7794.931645352477,0.4196837338428514,0.4196837338428514,0.4196837338428514,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.0,0.00022959257502558087
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10,2,7159.195135410126,7159.195135410126,7159.195135410126,2,71632.06531074218,71632.06531074218,71632.06531074218,2,0.4432291885767214,0.4432291885767214,0.4432291885767214,2,7159.195135410126,7159.195135410126,7159.195135410126,0.4432291885767214,0.4432291885767214,0.4432291885767214,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.00026471079461355945,0.0007701255648292472
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20,2,1775.470625907215,1775.470625907215,1775.470625907215,2,35492.37617761224,35492.37617761224,35492.37617761224,2,0.4177083333333329,0.4177083333333329,0.4177083333333329,2,1775.470625907215,1775.470625907215,1775.470625907215,0.4177083333333329,0.4177083333333329,0.4177083333333329,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.0,0.004245772877194274
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4,2,9133.39383459365,9133.39383459365,9133.39383459365,2,36531.237339219035,36531.237339219035,36531.237339219035,2,0.393466515952273,0.393466515952273,0.393466515952273,2,9133.39383459365,9133.39383459365,9133.39383459365,0.393466515952273,0.393466515952273,0.393466515952273,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,6.820632432233065e-05,0.00020233270388490072
