condition,polarity,metric,estimate,diagnostic_signed_estimate,repeat_ci_low,repeat_ci_high,analysis_ci_low,analysis_ci_high,diagnostic_analysis_ci_low,diagnostic_analysis_ci_high,passive_resolution_threshold,passive_resolution_basis,resolved_halfcycle_fraction,model_scale_sensitivity_low,model_scale_sensitivity_high,unit,evidence_tier,definition,n_files,scan_source
5mM_Mn_nitrate_in_water_4kHz,negative,peak_halfcycle_charge_nC,,241.51190957362843,,,,,241.51190957362843,241.51190957362843,23.81381079617775,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.1754983388704319,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,negative,peak_halfcycle_average_flow_per_s,,3.183591077743106e+17,,,,,3.183591077743106e+17,3.183591077743106e+17,3.6643058774875384e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.1754983388704319,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,negative,whole_record_average_flow_per_s,,1.7849264036098204e+16,,,,,1.7849264036098202e+16,1.7849264036098202e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.1754983388704319,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,negative,record_total_charge_nC,,28598.61023215843,,,,,28598.610232158426,28598.610232158426,0.0,resolved_fraction_only_no_same_frequency_holdout,0.1754983388704319,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,positive,peak_halfcycle_charge_nC,,36.98569940462501,,,,,36.98569940462501,36.98569940462501,28.207727140681747,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.24478954255029906,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,positive,peak_halfcycle_average_flow_per_s,,7.626970930129326e+16,,,,,7.626970930129326e+16,7.626970930129326e+16,5.857467721988603e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.24478954255029906,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,positive,whole_record_average_flow_per_s,,1.644251463098398e+16,,,,,1.6442514630983976e+16,1.6442514630983976e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.24478954255029906,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,positive,record_total_charge_nC,,26344.67540045784,,,,,26344.675400457832,26344.675400457832,0.0,resolved_fraction_only_no_same_frequency_holdout,0.24478954255029906,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,negative,peak_halfcycle_charge_nC,,140.0342209355706,,,,,140.0342209355706,140.0342209355706,23.81381079617775,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.3754226022174385,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,negative,peak_halfcycle_average_flow_per_s,,1.83276916992661e+17,,,,,1.83276916992661e+17,1.83276916992661e+17,3.6643058774875384e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.3754226022174385,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,5mM_Mn_nitrate_in_water_20kHz
