EN_Td,Emean_eV,muN,DN,alphaN_ion_m2,source
0.1,0.790924,1.64014e+25,2.5095e+25,0,BOLSIG
0.113841,0.841019,1.49378e+25,2.40341e+25,0,BOLSIG
0.129597,0.894989,1.36026e+25,2.30149e+25,0,BOLSIG
0.147535,0.953052,1.23822e+25,2.19654e+25,0,BOLSIG
0.167955,1.01528,1.1268e+25,2.10403e+25,0,BOLSIG
0.191201,1.08186,1.02492e+25,2.01589e+25,0,BOLSIG
0.217665,1.15299,9.31699e+24,1.93288e+25,0,BOLSIG
0.247792,1.22876,8.46631e+24,1.8532e+25,0,BOLSIG
0.282089,1.3094,7.68978e+24,1.77754e+25,0,BOLSIG
0.321132,1.39521,6.98104e+24,1.70715e+25,0,BOLSIG
0.36558,1.48638,6.33612e+24,1.63881e+25,0,BOLSIG
0.416179,1.58324,5.74907e+24,1.57386e+25,0,BOLSIG
0.473782,1.6862,5.2145e+24,1.51113e+25,0,BOLSIG
0.539357,1.7954,4.72874e+24,1.4524e+25,0,BOLSIG
0.614009,1.91118,4.28677e+24,1.39645e+25,0,BOLSIG
0.698994,2.03383,3.8842e+24,1.34041e+25,0,BOLSIG
0.79574,2.16342,3.51822e+24,1.28974e+25,0,BOLSIG
0.905878,2.30021,3.18526e+24,1.24133e+25,0,BOLSIG
1.03126,2.44457,2.88234e+24,1.19582e+25,0,BOLSIG
1.17399,2.59663,2.60756e+24,1.15141e+25,0,BOLSIG
1.33649,2.75694,2.35837e+24,1.10882e+25,0,BOLSIG
1.52147,2.92615,2.13245e+24,1.07625e+25,0,BOLSIG
1.73205,3.10466,1.92824e+24,1.03616e+25,0,BOLSIG
1.97178,3.29356,1.74352e+24,9.97361e+24,0,BOLSIG
2.24469,3.49354,1.57702e+24,9.60183e+24,0,BOLSIG
2.55538,3.70613,1.42714e+24,9.2429e+24,0,BOLSIG
2.90906,3.93283,1.2929e+24,8.89644e+24,0,BOLSIG
3.31171,4.17325,1.17492e+24,8.56562e+24,0,BOLSIG
3.77007,4.41998,1.07711e+24,8.26074e+24,8.91196e-38,BOLSIG
4.29189,4.65427,1.00612e+24,8.00742e+24,1.34092e-35,BOLSIG
4.88592,4.85485,9.64745e+23,7.82111e+24,9.12014e-34,BOLSIG
5.56217,5.01086,9.48305e+23,7.7013e+24,3.22317e-32,BOLSIG
6.33203,5.12567,9.47473e+23,7.63188e+24,6.7061e-31,BOLSIG
7.20843,5.2101,9.53512e+23,7.5931e+24,9.09937e-30,BOLSIG
8.20614,5.27558,9.60601e+23,7.56771e+24,9.23505e-29,BOLSIG
9.34195,5.33005,9.65957e+23,7.54937e+24,6.54537e-28,BOLSIG
11.406,5.39773270466669,9.66306825794144e+23,6.6079024116059e+24,0,METHES
14.84,5.48959432389157,9.41771111039819e+23,6.5489273614036e+24,9.16238654604331e-26,METHES
19.307,5.61319150695053,9.49075341634119e+23,6.59937835734315e+24,9.0456878179667e-25,METHES
25.119,5.73093855543889,9.10289999618623e+23,6.3012464029186e+24,6.11645237395341e-24,METHES
30,5.82343590638956,8.99053857005439e+23,6.30897301589166e+24,1.66423506872273e-23,METHES
32.68,5.87528214628175,8.75651984677259e+23,6.0380773252921e+24,2.33643416821529e-23,METHES
42.518,6.04810175132885,8.54024081765481e+23,5.91128287095828e+24,7.84768964332163e-23,METHES
50,6.15421514427813,8.46558010259462e+23,5.86483245901141e+24,1.46038808695251e-22,METHES
55.317,6.23737605401816,8.37076924482408e+23,5.80372737524046e+24,2.0187076542414e-22,METHES
70,6.42468726674671,8.17951383173111e+23,5.71032786777267e+24,4.19375095497907e-22,METHES
71.969,6.43971495711935,8.05353939656236e+23,5.51859311255373e+24,4.35062803440118e-22,METHES
90,6.64921285686911,7.88072228446029e+23,5.42696162760642e+24,7.79857507544544e-22,METHES
93.633,6.6995233012752,7.94296513789564e+23,5.47129747489744e+24,8.90970011393836e-22,METHES
100,6.75704379139814,7.78567340154933e+23,5.39133552098584e+24,1.00217211530818e-21,METHES
110,6.86310081983056,7.75048961241791e+23,5.43824346257135e+24,1.25972585779785e-21,METHES
121.819,6.9588108462714,7.58421452253023e+23,5.23984286247902e+24,1.49669736607146e-21,METHES
130,7.05174590545296,7.57059551161224e+23,5.26348112110882e+24,1.74476814639258e-21,METHES
150,7.22622714678403,7.37744393999853e+23,5.12068600553328e+24,2.23577018519274e-21,METHES
158.489,7.32001538393651,7.44121268246769e+23,5.04580965588454e+24,2.53216580816207e-21,METHES
170,7.38623205600563,7.17136090872778e+23,4.96006637629276e+24,2.73888004482942e-21,METHES
