EN_Td,Emean_eV,w_ms,muN,DNt,DNl,kion_m3s,katt_m3s,keff_m3s,alphaN_ion_m2,alphaN_eff_m2
11.406,5.39773270466669,11021.695655008,9.66306825794144e+23,6.6079024116059e+24,3.33159410506838e+24,0,0,0,0,0
14.84,5.48959432389157,13975.8832878309,9.41771111039819e+23,6.5489273614036e+24,3.40941996271142e+24,1.28052445005493e-21,0,1.28052445005493e-21,9.16238654604331e-26,9.16238654604331e-26
19.307,5.61319150695053,18323.7976209299,9.49075341634119e+23,6.59937835734315e+24,3.43950947692413e+24,1.65751352918533e-20,0,1.65751352918533e-20,9.0456878179667e-25,9.0456878179667e-25
25.119,5.73093855543889,22865.5745004202,9.10289999618623e+23,6.3012464029186e+24,3.40072273243873e+24,1.39856197434904e-19,0,1.39856197434904e-19,6.11645237395341e-24,6.11645237395341e-24
30,5.82343590638956,26971.6157101632,8.99053857005439e+23,6.30897301589166e+24,3.35343665977002e+24,4.48871087249666e-19,0,4.48871087249666e-19,1.66423506872273e-23,1.66423506872273e-23
32.68,5.87528214628175,28616.3068592528,8.75651984677259e+23,6.0380773252921e+24,3.34847288778785e+24,6.6860117114092e-19,0,6.6860117114092e-19,2.33643416821529e-23,2.33643416821529e-23
42.518,6.04810175132885,36311.3959085047,8.54024081765481e+23,5.91128287095828e+24,3.27929077832559e+24,2.84960565605724e-18,0,2.84960565605724e-18,7.84768964332163e-23,7.84768964332163e-23
50,6.15421514427813,42327.9005129731,8.46558010259462e+23,5.86483245901141e+24,3.37937597141704e+24,6.18151616548569e-18,0,6.18151616548569e-18,1.46038808695251e-22,1.46038808695251e-22
55.317,6.23737605401816,46304.5842315933,8.37076924482408e+23,5.80372737524046e+24,3.37119388632693e+24,9.34754186147829e-18,0,9.34754186147829e-18,2.0187076542414e-22,2.0187076542414e-22
70,6.42468726674671,57256.5968221178,8.17951383173111e+23,5.71032786777267e+24,3.29221849426163e+24,2.40119907601608e-17,0,2.40119907601608e-17,4.19375095497907e-22,4.19375095497907e-22
71.969,6.43971495711935,57960.5176831196,8.05353939656236e+23,5.51859311255373e+24,3.30485811044564e+24,2.52164653120586e-17,0,2.52164653120586e-17,4.35062803440118e-22,4.35062803440118e-22
90,6.64921285686911,70926.5005601426,7.88072228446029e+23,5.42696162760642e+24,3.32872352470043e+24,5.53125639456895e-17,0,5.53125639456895e-17,7.79857507544544e-22,7.79857507544544e-22
93.633,6.6995233012752,74372.3654756582,7.94296513789564e+23,5.47129747489744e+24,3.26897673644727e+24,6.62635473152337e-17,0,6.62635473152337e-17,8.90970011393836e-22,8.90970011393836e-22
100,6.75704379139814,77856.7340154933,7.78567340154933e+23,5.39133552098584e+24,3.29080600980904e+24,7.80258478192929e-17,0,7.80258478192929e-17,1.00217211530818e-21,1.00217211530818e-21
110,6.86310081983056,85255.385736597,7.75048961241791e+23,5.43824346257135e+24,3.28060664894127e+24,1.07398413928921e-16,0,1.07398413928921e-16,1.25972585779785e-21,1.25972585779785e-21
121.819,6.9588108462714,92390.142892011,7.58421452253023e+23,5.23984286247902e+24,3.22607514341679e+24,1.38280083517438e-16,0,1.38280083517438e-16,1.49669736607146e-21,1.49669736607146e-21
130,7.05174590545296,98417.7416509591,7.57059551161224e+23,5.26348112110882e+24,3.30730950058917e+24,1.71716140672488e-16,0,1.71716140672488e-16,1.74476814639258e-21,1.74476814639258e-21
