member,material,burst_kHz,level,capture_index,selected
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,5mM_Mn_nitrate_in_water,4,MAX,1,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_02.csv,5mM_Mn_nitrate_in_water,4,MAX,2,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_03.csv,5mM_Mn_nitrate_in_water,4,MAX,3,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_04.csv,5mM_Mn_nitrate_in_water,4,MAX,4,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_05.csv,5mM_Mn_nitrate_in_water,4,MAX,5,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_06.csv,5mM_Mn_nitrate_in_water,4,MAX,6,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_07.csv,5mM_Mn_nitrate_in_water,4,MAX,7,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_08.csv,5mM_Mn_nitrate_in_water,4,MAX,8,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_09.csv,5mM_Mn_nitrate_in_water,4,MAX,9,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_10.csv,5mM_Mn_nitrate_in_water,4,MAX,10,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_11.csv,5mM_Mn_nitrate_in_water,4,MAX,11,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_12.csv,5mM_Mn_nitrate_in_water,4,MAX,12,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_13.csv,5mM_Mn_nitrate_in_water,4,MAX,13,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_14.csv,5mM_Mn_nitrate_in_water,4,MAX,14,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_15.csv,5mM_Mn_nitrate_in_water,4,MAX,15,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_16.csv,5mM_Mn_nitrate_in_water,4,MAX,16,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_17.csv,5mM_Mn_nitrate_in_water,4,MAX,17,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_18.csv,5mM_Mn_nitrate_in_water,4,MAX,18,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_19.csv,5mM_Mn_nitrate_in_water,4,MAX,19,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_20.csv,5mM_Mn_nitrate_in_water,4,MAX,20,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_21.csv,5mM_Mn_nitrate_in_water,4,MAX,21,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_22.csv,5mM_Mn_nitrate_in_water,4,MAX,22,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_23.csv,5mM_Mn_nitrate_in_water,4,MAX,23,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_24.csv,5mM_Mn_nitrate_in_water,4,MAX,24,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_25.csv,5mM_Mn_nitrate_in_water,4,MAX,25,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_26.csv,5mM_Mn_nitrate_in_water,4,MAX,26,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_27.csv,5mM_Mn_nitrate_in_water,4,MAX,27,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_28.csv,5mM_Mn_nitrate_in_water,4,MAX,28,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_29.csv,5mM_Mn_nitrate_in_water,4,MAX,29,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_30.csv,5mM_Mn_nitrate_in_water,4,MAX,30,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_31.csv,5mM_Mn_nitrate_in_water,4,MAX,31,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_32.csv,5mM_Mn_nitrate_in_water,4,MAX,32,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_33.csv,5mM_Mn_nitrate_in_water,4,MAX,33,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_34.csv,5mM_Mn_nitrate_in_water,4,MAX,34,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_35.csv,5mM_Mn_nitrate_in_water,4,MAX,35,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_36.csv,5mM_Mn_nitrate_in_water,4,MAX,36,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_37.csv,5mM_Mn_nitrate_in_water,4,MAX,37,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_38.csv,5mM_Mn_nitrate_in_water,4,MAX,38,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_39.csv,5mM_Mn_nitrate_in_water,4,MAX,39,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_40.csv,5mM_Mn_nitrate_in_water,4,MAX,40,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_41.csv,5mM_Mn_nitrate_in_water,4,MAX,41,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_42.csv,5mM_Mn_nitrate_in_water,4,MAX,42,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_43.csv,5mM_Mn_nitrate_in_water,4,MAX,43,True
