condition,material,burst_kHz,level,vpp,vpp_low,vpp_high,x,x_low,x_high,y,y_low,y_high
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,40,2.0527805,2.0527805,2.0527805,0.662770666,0.59175073325,0.69438975725,55.271899999999995,55.271899999999995,55.271899999999995
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,60,3.1588336199999993,3.1588336199999993,3.1588336199999993,0.8206815869999999,0.78920859375,0.84047427975,78.9646907,78.9616148,78.96776659999999
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,75,3.6325049400000005,3.6325049400000005,3.6325049400000005,1.6421013720000002,1.5315883322500001,1.67372046725,88.44119180000001,86.4649983,89.42928855
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,90,4.4223671,4.4223671,4.579847340000001,1.7055241100000003,1.6739665380000002,1.73720473,78.9616148,78.9566164625,78.96776659999999
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,100,6.0020916500000006,6.0020916500000006,6.0020916500000006,3.0322342140000003,3.0322341887500004,3.0638533055000003,347.53321639999996,344.3713068,351.6832172
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,105,6.791953799999999,6.47576261,6.89037895,3.5692666960000006,3.5376475865,3.60076275,474.7077948000001,462.8506428,485.9636373
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,115,7.26562524,7.166815490000001,7.26562524,1.7215181780000002,0.5608083087500001,1.8202048135000002,462.85064520000003,176.71167825,467.5935036
BMIM_nitrate_20kHz,BMIM_nitrate,20,40,1.89468503,1.7958753550000002,1.89468503,0.6311515700000001,0.2446942675,0.65100577925,63.17667399999999,28.0196547,63.17667399999999
BMIM_nitrate_20kHz,BMIM_nitrate,20,60,2.8426426600000005,2.68454718,2.8426426600000005,0.7576279515,0.757504918,0.789124012,88.43504,88.43504,88.43504
BMIM_nitrate_20kHz,BMIM_nitrate,20,75,3.3169291,3.3169291,3.3169291,0.947034933,0.92728837975,0.97854637225,107.3818904,107.3818904,107.3818904
BMIM_nitrate_20kHz,BMIM_nitrate,20,90,4.1067915,4.1067915,4.26427174,-0.6791953210000002,-0.84907106675,1.44086798625,116.89068824999998,108.9874514,128.72785395
BMIM_nitrate_20kHz,BMIM_nitrate,20,100,4.73794294,4.579847340000001,4.73794294,2.5424458230000004,2.455708639,2.5899667507500004,149.27411639999997,136.6295542,151.05576675
