condition,condition_label,material,burst_kHz,n_max_files,raw_qv_energy_per_burst_uJ,raw_qv_energy_per_burst_uJ_ci_low,raw_qv_energy_per_burst_uJ_ci_high,raw_qv_energy_per_burst_uJ_n_captures,apparent_lissajous_power_mW,apparent_lissajous_power_mW_ci_low,apparent_lissajous_power_mW_ci_high,apparent_lissajous_power_mW_n_captures,detected_activity_on_fraction,detected_activity_on_fraction_ci_low,detected_activity_on_fraction_ci_high,detected_activity_on_fraction_n_captures,burst_energy_median_uJ,burst_energy_median_uJ_ci_low,burst_energy_median_uJ_ci_high,duty_on_fraction,duty_on_fraction_ci_low,duty_on_fraction_ci_high,raw_qv_energy_definition,duty_fraction_definition,duty_detector_channel_mode,duty_detector_channel_agreement,raw_qv_closure_contribution_fraction_median,raw_qv_closure_contribution_fraction_p95
5mM_Mn_nitrate_in_water_4kHz,"5 mM Mn nitrate, 4 kHz",5mM_Mn_nitrate_in_water,4,64,3712.509051870503,3696.2737417148787,3726.835740581142,64,14853.982198084726,14788.067549002066,14907.798876048832,64,0.2014149141629804,0.19933414156456225,0.20307949210440038,63,3712.509051870503,3696.2737417148787,3726.835740581142,0.2014149141629804,0.19933414156456225,0.20307949210440038,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,0.890625,0.0,0.00016853084434997531
5mM_Mn_nitrate_in_water_10kHz,"5 mM Mn nitrate, 10 kHz",5mM_Mn_nitrate_in_water,10,64,2436.414611467282,2398.9963132185,2481.975515379019,64,24374.542130047834,23890.85635423859,24845.71446985411,64,0.3322915997888255,0.33125003317808827,0.3329864056858209,64,2436.414611467282,2398.9963132185,2481.975515379019,0.3322915997888255,0.33125003317808827,0.3329864056858209,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.0,0.0007536212842417561
5mM_Mn_nitrate_in_water_20kHz,"5 mM Mn nitrate, 20 kHz",5mM_Mn_nitrate_in_water,20,64,3610.9550546162536,3541.887330851931,3687.5757189246224,64,72184.4525551661,70816.34953877295,73785.53483566036,64,0.48333333333334,0.4833333333333316,0.4854165635850498,64,3610.9550546162536,3541.887330851931,3687.5757189246224,0.48333333333334,0.4833333333333316,0.4854165635850498,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,0.984375,0.0,0.0007001367587706547
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4,64,3001.554231367424,2985.2250828825267,3024.916907449563,64,12005.448576772007,11941.577678448106,12109.04468781815,64,0.18310442740679714,0.18185602059349062,0.1837286635174396,62,3001.554231367424,2985.2250828825267,3024.916907449563,0.18310442740679714,0.18185602059349062,0.1837286635174396,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,current,0.96875,0.0,0.00020225817838474044
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10,64,3057.7137759017314,3048.7511886099846,3062.4111250747155,64,30594.270550554204,30516.185345882397,30641.172955361595,64,0.30104166666666754,0.29999999999999655,0.3020832983815689,64,3057.7137759017314,3048.7511886099846,3062.4111250747155,0.30104166666666754,0.29999999999999655,0.3020832983815689,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,0.984375,0.0,0.00041434178170392363
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20,64,3251.659078846955,3232.0150384069143,3265.362139041312,64,65001.980626299264,64608.29039164248,65275.837409849904,64,0.47708333333333747,0.47708333333332875,0.47708342890292516,64,3251.659078846955,3232.0150384069143,3265.362139041312,0.47708333333333747,0.47708333333332875,0.47708342890292516,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.0,0.0005831626794579724
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4,64,7901.719984067127,7709.218099053922,8033.932655943958,64,31604.857225435626,30835.998580634157,32133.674068665478,64,0.42155640471671646,0.4198918187158609,0.4219725512169303,63,7901.719984067127,7709.218099053922,8033.932655943958,0.42155640471671646,0.4198918187158609,0.4219725512169303,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,0.984375,0.0,0.00024128322634477714
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10,64,6561.298951245804,6214.509282302106,7006.100789591597,64,65649.75337440905,62163.17297617728,69750.87848622106,64,0.4416666666666606,0.4406249439728499,0.4427083776751069,63,6561.298951245804,6214.509282302106,7006.100789591597,0.4416666666666606,0.4406249439728499,0.4427083776751069,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,0.984375,0.00029370341813089376,0.0008396022030218761
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20,64,1775.1812892770827,1774.5163628322143,1776.4006449823728,64,35486.592221308616,35468.025581695416,35510.96763521576,64,0.42500008513623455,0.42500000000000954,0.4270832185663449,64,1775.1812892770827,1774.5163628322143,1776.4006449823728,0.42500008513623455,0.42500000000000954,0.4270832185663449,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,0.984375,0.0,0.004544729759530994
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4,64,9225.778674501931,9164.941673032781,9251.39287408222,64,36900.75304984703,36657.420617245894,36999.31341404598,64,0.39409072358014247,0.39367458920238796,0.39450688220280883,64,9225.778674501931,9164.941673032781,9251.39287408222,0.39409072358014247,0.39367458920238796,0.39450688220280883,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.0,0.00020346550408221632
pure_water_10kHz,"Pure water, 10 kHz",pure_water,10,64,7391.339643357693,7350.529511737689,7412.604109698411,64,73954.81112787762,73546.48114688785,74155.03398523488,64,0.45312500000000044,0.4520833326473329,0.45416666666665756,64,7391.339643357693,7350.529511737689,7412.604109698411,0.45312500000000044,0.4520833326473329,0.45416666666665756,median_cyclic_shoelace_area_per_complete_duty_burst_within_capture_then_median_across_captures,fraction_of_detected_activity_envelope_above_P10_plus_0.30_times_P90_minus_P10,voltage,1.0,0.000333866502364102,0.0007617341854759759
