condition,condition_label,material,burst_kHz,charge_polarity,n_max_files,scan_source,calibration_transferred,evidence_tier,passive_background_status,carrier_polarity_assignment,carrier_polarity_assignment_status,Ccell_reactive_pF,Ccell_reactive_ci_low_pF,Ccell_reactive_ci_high_pF,Cd_scan_status,Cd_scan_pF,Cd_scan_ci_low_pF,Cd_scan_ci_high_pF,Cd_scan_charge_factor_status,Cd_scan_based_factor_diagnostic,Cd_geometry_scenario_pF,charge_correction_factor,model_sensitivity_draw_valid_fraction,retained_charge_nC,retained_charge_ci_low_nC,retained_charge_ci_high_nC,retained_charge_status,raw_qv_energy_per_burst_uJ,raw_qv_energy_per_burst_uJ_ci_low,raw_qv_energy_per_burst_uJ_ci_high,apparent_lissajous_power_mW,apparent_lissajous_power_mW_ci_low,apparent_lissajous_power_mW_ci_high,detected_activity_on_fraction,detected_activity_on_fraction_ci_low,detected_activity_on_fraction_ci_high,peak_halfcycle_charge_nC,peak_halfcycle_charge_nC_repeat_ci_low,peak_halfcycle_charge_nC_repeat_ci_high,peak_halfcycle_charge_nC_analysis_ci_low,peak_halfcycle_charge_nC_analysis_ci_high,peak_halfcycle_charge_nC_model_sensitivity_low,peak_halfcycle_charge_nC_model_sensitivity_high,peak_halfcycle_charge_nC_status,peak_halfcycle_average_flow_per_s,peak_halfcycle_average_flow_per_s_repeat_ci_low,peak_halfcycle_average_flow_per_s_repeat_ci_high,peak_halfcycle_average_flow_per_s_analysis_ci_low,peak_halfcycle_average_flow_per_s_analysis_ci_high,peak_halfcycle_average_flow_per_s_model_sensitivity_low,peak_halfcycle_average_flow_per_s_model_sensitivity_high,peak_halfcycle_average_flow_per_s_status,whole_record_average_flow_per_s,whole_record_average_flow_per_s_repeat_ci_low,whole_record_average_flow_per_s_repeat_ci_high,whole_record_average_flow_per_s_analysis_ci_low,whole_record_average_flow_per_s_analysis_ci_high,whole_record_average_flow_per_s_model_sensitivity_low,whole_record_average_flow_per_s_model_sensitivity_high,whole_record_average_flow_per_s_status,record_total_charge_nC,record_total_charge_nC_repeat_ci_low,record_total_charge_nC_repeat_ci_high,record_total_charge_nC_analysis_ci_low,record_total_charge_nC_analysis_ci_high,record_total_charge_nC_model_sensitivity_low,record_total_charge_nC_model_sensitivity_high,record_total_charge_nC_status,reportability
5mM_Mn_nitrate_in_water_4kHz,"5 mM Mn nitrate, 4 kHz",5mM_Mn_nitrate_in_water,4,negative,64,5mM_Mn_nitrate_in_water_20kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,9.493479152618189,9.45751837531424,9.533800309212454,rejected_three_level_effective_Cd,-12.072975842077684,,,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3712.509051870503,3696.2737417148787,3726.835740581142,14853.982198084726,14788.067549002066,14907.798876048832,0.2014149141629804,0.19933414156456225,0.20307949210440038,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
5mM_Mn_nitrate_in_water_4kHz,"5 mM Mn nitrate, 4 kHz",5mM_Mn_nitrate_in_water,4,positive,64,5mM_Mn_nitrate_in_water_20kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,9.493479152618189,9.45751837531424,9.533800309212454,rejected_three_level_effective_Cd,-12.072975842077684,,,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3712.509051870503,3696.2737417148787,3726.835740581142,14853.982198084726,14788.067549002066,14907.798876048832,0.2014149141629804,0.19933414156456225,0.20307949210440038,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
5mM_Mn_nitrate_in_water_10kHz,"5 mM Mn nitrate, 10 kHz",5mM_Mn_nitrate_in_water,10,negative,64,5mM_Mn_nitrate_in_water_20kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,9.493479152618189,9.45751837531424,9.533800309212454,rejected_three_level_effective_Cd,-12.072975842077684,,,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,2436.414611467282,2398.9963132185,2481.975515379019,24374.542130047834,23890.85635423859,24845.71446985411,0.3322915997888255,0.33125003317808827,0.3329864056858209,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
5mM_Mn_nitrate_in_water_10kHz,"5 mM Mn nitrate, 10 kHz",5mM_Mn_nitrate_in_water,10,positive,64,5mM_Mn_nitrate_in_water_20kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,9.493479152618189,9.45751837531424,9.533800309212454,rejected_three_level_effective_Cd,-12.072975842077684,,,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,2436.414611467282,2398.9963132185,2481.975515379019,24374.542130047834,23890.85635423859,24845.71446985411,0.3322915997888255,0.33125003317808827,0.3329864056858209,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
5mM_Mn_nitrate_in_water_20kHz,"5 mM Mn nitrate, 20 kHz",5mM_Mn_nitrate_in_water,20,negative,64,5mM_Mn_nitrate_in_water_20kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,9.493479152618189,9.45751837531424,9.533800309212454,rejected_three_level_effective_Cd,-12.072975842077684,,,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3610.9550546162536,3541.887330851931,3687.5757189246224,72184.4525551661,70816.34953877295,73785.53483566036,0.48333333333334,0.4833333333333316,0.4854165635850498,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
5mM_Mn_nitrate_in_water_20kHz,"5 mM Mn nitrate, 20 kHz",5mM_Mn_nitrate_in_water,20,positive,64,5mM_Mn_nitrate_in_water_20kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,9.493479152618189,9.45751837531424,9.533800309212454,rejected_three_level_effective_Cd,-12.072975842077684,,,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3610.9550546162536,3541.887330851931,3687.5757189246224,72184.4525551661,70816.34953877295,73785.53483566036,0.48333333333334,0.4833333333333316,0.4854165635850498,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4,negative,64,BMIM_nitrate_20kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,12.664623246369368,12.664623246369368,12.670446359570635,supported_provisional_three_level_effective_Cd,212.56104085705545,210.4169278499837,244.4111099895639,not_usable_physical_Ccell_not_supported,1.0633559290243746,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3001.554231367424,2985.2250828825267,3024.916907449563,12005.448576772007,11941.577678448106,12109.04468781815,0.18310442740679714,0.18185602059349062,0.1837286635174396,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4,positive,64,BMIM_nitrate_20kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,12.664623246369368,12.664623246369368,12.670446359570635,supported_provisional_three_level_effective_Cd,212.56104085705545,210.4169278499837,244.4111099895639,not_usable_physical_Ccell_not_supported,1.0633559290243746,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3001.554231367424,2985.2250828825267,3024.916907449563,12005.448576772007,11941.577678448106,12109.04468781815,0.18310442740679714,0.18185602059349062,0.1837286635174396,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10,negative,64,BMIM_nitrate_20kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,12.664623246369368,12.664623246369368,12.670446359570635,supported_provisional_three_level_effective_Cd,212.56104085705545,210.4169278499837,244.4111099895639,not_usable_physical_Ccell_not_supported,1.0633559290243746,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3057.7137759017314,3048.7511886099846,3062.4111250747155,30594.270550554204,30516.185345882397,30641.172955361595,0.30104166666666754,0.29999999999999655,0.3020832983815689,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10,positive,64,BMIM_nitrate_20kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,12.664623246369368,12.664623246369368,12.670446359570635,supported_provisional_three_level_effective_Cd,212.56104085705545,210.4169278499837,244.4111099895639,not_usable_physical_Ccell_not_supported,1.0633559290243746,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3057.7137759017314,3048.7511886099846,3062.4111250747155,30594.270550554204,30516.185345882397,30641.172955361595,0.30104166666666754,0.29999999999999655,0.3020832983815689,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
