condition,polarity,metric,estimate,diagnostic_signed_estimate,repeat_ci_low,repeat_ci_high,analysis_ci_low,analysis_ci_high,diagnostic_analysis_ci_low,diagnostic_analysis_ci_high,passive_resolution_threshold,passive_resolution_basis,resolved_halfcycle_fraction,model_scale_sensitivity_low,model_scale_sensitivity_high,unit,evidence_tier,definition,n_files,scan_source
5mM_Mn_nitrate_in_water_4kHz,negative,peak_halfcycle_charge_nC,509.2643996893973,509.2643996893973,506.43469537045473,512.3158932678999,506.25678274014507,512.6136594129244,506.25678274014507,512.6136594129244,102.1089931462297,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.17259688449848026,422.6031275445299,867.3105367354013,nC,exploratory_transferred_model,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,negative,peak_halfcycle_average_flow_per_s,6.683738767474729e+17,6.683738767474729e+17,6.646531478461212e+17,6.709145780063397e+17,6.646536882839092e+17,6.709892280404635e+17,6.646536882839092e+17,6.709892280404635e+17,1.592509681858991e+17,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.17259688449848026,5.541887414224578e+17,1.1380036659119602e+18,elementary_charge_equivalents_per_s,exploratory_transferred_model,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,negative,whole_record_average_flow_per_s,3.5913050049865984e+16,3.5913050049865984e+16,3.56478861978037e+16,3.620236183452622e+16,3.5650956798318708e+16,3.621530042716392e+16,3.5650956798318708e+16,3.621530042716392e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.17259688449848026,2.977710621912492e+16,6.118279292808817e+16,elementary_charge_equivalents_per_s,exploratory_transferred_model,signed background-subtracted sum divided by full record duration,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,negative,record_total_charge_nC,57540.93381928749,57540.93381928749,57128.822440091564,58017.43378047623,57121.0003850394,58025.208168940524,57121.0003850394,58025.208168940524,0.0,resolved_fraction_only_no_same_frequency_holdout,0.17259688449848026,47709.746064605155,98028.85117989108,nC,exploratory_transferred_model,signed background-subtracted charge summed over the full record,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,positive,peak_halfcycle_charge_nC,,74.41722709846908,,,,,72.5393562909993,76.0696862331976,80.84927550577656,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.253826073404504,,,nC,not_resolved_above_passive_background_at_95_percent_analysis_CI,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,positive,peak_halfcycle_average_flow_per_s,,1.52409680992952e+17,,,,,1.491922021718803e+17,1.56033309353678e+17,1.6814514330775555e+17,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.253826073404504,,,elementary_charge_equivalents_per_s,not_resolved_above_passive_background_at_95_percent_analysis_CI,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,positive,whole_record_average_flow_per_s,3.3206194125180852e+16,3.3206194125180852e+16,3.2878523789970704e+16,3.344329230960976e+16,3.2870299637576684e+16,3.3456731636004904e+16,3.2870299637576684e+16,3.3456731636004904e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.253826073404504,2.75374956079551e+16,5.6619571284717464e+16,elementary_charge_equivalents_per_s,exploratory_transferred_model,signed background-subtracted sum divided by full record duration,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_4kHz,positive,record_total_charge_nC,53203.930490291925,53203.930490291925,52678.92754437975,53590.21787656601,52665.750568100455,53605.34898049419,52665.750568100455,53605.34898049419,0.0,resolved_fraction_only_no_same_frequency_holdout,0.253826073404504,44121.37677323727,90717.52467826151,nC,exploratory_transferred_model,signed background-subtracted charge summed over the full record,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,negative,peak_halfcycle_charge_nC,286.69361231400313,286.69361231400313,282.1241491700688,296.8317144502816,281.9705688330649,297.76194361334996,281.9705688330649,297.76194361334996,102.1089931462297,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.27155172413793105,237.2931717310407,499.44192683424984,nC,exploratory_transferred_model,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,negative,peak_halfcycle_average_flow_per_s,3.779817111028402e+17,3.779817111028402e+17,3.740551311179176e+17,3.9330440509367795e+17,3.740546495439e+17,3.934939290854024e+17,3.740546495439e+17,3.934939290854024e+17,1.592509681858991e+17,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.27155172413793105,3.139117409638903e+17,6.60507965083162e+17,elementary_charge_equivalents_per_s,exploratory_transferred_model,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,negative,whole_record_average_flow_per_s,4.42058919191986e+16,4.42058919191986e+16,4.2122835778874376e+16,4.504104224356353e+16,4.179136702578751e+16,4.5054329601086904e+16,4.179136702578751e+16,4.5054329601086904e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.27155172413793105,3.645814679045259e+16,7.627561143335376e+16,elementary_charge_equivalents_per_s,exploratory_transferred_model,signed background-subtracted sum divided by full record duration,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,negative,record_total_charge_nC,70827.96637470993,70827.96637470993,67654.03712929448,72197.42267658764,66959.34433052609,72187.35791721432,66959.34433052609,72187.35791721432,0.0,resolved_fraction_only_no_same_frequency_holdout,0.27155172413793105,58414.303678757846,122211.00417308263,nC,exploratory_transferred_model,signed background-subtracted charge summed over the full record,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,positive,peak_halfcycle_charge_nC,429.5343663588941,429.5343663588941,424.8421566104736,439.89159263254794,424.5523839239718,440.01526890340205,424.5523839239718,440.01526890340205,80.84927550577656,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.18148487626031165,355.6601543168839,746.6798719206638,nC,exploratory_transferred_model,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,5mM_Mn_nitrate_in_water_20kHz
