condition,material,burst_kHz,member,capture_index,carrier_Hz,detected_burst_Hz,burst_detection_method,burst_frequency_relative_error,voltage_pp_kV,locked_charge_sign,file_sign_vote,sign_vote_disagrees,charge_lsb_nC,complex_fit_residual_rms_nC,complex_fit_signal_codes,raw_qv_energy_per_burst_uJ,burst_energy_median_uJ,apparent_lissajous_power_mW,detected_activity_on_fraction,duty_on_fraction,duty_envelope_contrast,source_voltage_clipped,current_clipped,monitor_voltage_clipped,negative_peak_envelope_halfcycle_median_nC,negative_peak_envelope_halfcycle_p95_nC,negative_all_halfcycle_p95_nC,negative_record_total_nC,negative_record_average_equivalent_flow_per_s,negative_peak_halfcycle_average_equivalent_flow_p95_per_s,negative_resolved_halfcycles,negative_total_halfcycles,negative_resolved_halfcycle_fraction,negative_peak_charge_resolution_threshold_nC,negative_peak_rate_resolution_threshold_per_s,positive_peak_envelope_halfcycle_median_nC,positive_peak_envelope_halfcycle_p95_nC,positive_all_halfcycle_p95_nC,positive_record_total_nC,positive_record_average_equivalent_flow_per_s,positive_peak_halfcycle_average_equivalent_flow_p95_per_s,positive_resolved_halfcycles,positive_total_halfcycles,positive_resolved_halfcycle_fraction,positive_peak_charge_resolution_threshold_nC,positive_peak_rate_resolution_threshold_per_s,transport_imbalance_nC
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,127994.47063898804,3999.7440163866904,current activity-envelope rising edges,6.399590332739535e-05,8.0554874,1,-1,True,7.9047679999999945,20.20334854120796,30.18300222551792,3681.4621750438478,3681.4621750438478,14724.90630618556,0.1876820715964842,0.1876820715964842,0.8810715114153538,False,False,False,224.1480540456488,235.718181283058,191.97139994211756,28557.633227264436,1.7823689038788056e+16,3.121711809882913e+17,197.0,1204.0,0.16362126245847175,19.957202670999298,2.6503059881589188e+16,19.802929504837635,35.57685635783796,239.306574594608,26534.185377223712,1.6560793581789962e+16,7.278558526314125e+16,158.0,768.0,0.20572916666666666,28.19471783162291,5.8365170478680776e+16,-2023.447850040724
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_02.csv,2,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.610701775851336,31.90406830960111,3696.6189478016436,3696.6189478016436,14785.529517331288,0.21015395100306938,0.21015395100306938,0.8755460117862585,False,False,False,234.58982522107988,243.31902034607427,191.5943774322236,28201.214618670005,1.7601237325206988e+16,3.173206902152322e+17,202.0,1133.0,0.17828773168578993,19.957202670999298,2.6348709433824936e+16,26.017800119510625,39.62488426533195,313.76998617225115,25809.72311406911,1.6108634609229294e+16,8.059009405953142e+16,174.0,615.0,0.28292682926829266,28.19471783162291,5.870163394452846e+16,-2391.4915046008937
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_03.csv,3,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.551688993442717,32.018572259740154,3715.342757330544,3715.342757330544,14860.41996245847,0.2030794921044024,0.2030794921044024,0.8774527120602,False,False,False,236.97119096534786,247.1715230402278,191.78877805533003,28393.83630068665,1.7721458386072606e+16,3.240508724496208e+17,204.0,1104.0,0.18478260869565216,19.957202670999298,2.6323367188593904e+16,28.965858514252417,38.633866141309085,315.1028941687853,25901.93278403182,1.6166185473851208e+16,7.953986052527645e+16,179.0,603.0,0.296849087893864,28.19471783162291,5.838465281840661e+16,-2491.903516654831
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_04.csv,4,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.508682826858482,31.850294642214358,3718.457296976995,3718.457296976995,14872.877323773162,0.20432793160504406,0.20432793160504406,0.8770417167101491,False,False,False,237.6972699938122,243.4206789700011,191.4732278326138,27991.831421728868,1.7470554892159168e+16,3.189323825168498e+17,199.0,1093.0,0.18206770356816102,19.957202670999298,2.6382630667595372e+16,29.02183177265796,37.607764628930404,318.32939811134486,25540.619772453476,1.5940679014237038e+16,7.789469058390984e+16,170.0,600.0,0.2833333333333333,28.19471783162291,5.864152578275112e+16,-2451.211649275392
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_05.csv,5,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.490451473513517,31.923193036632256,3712.831160085819,3712.831160085819,14850.37421640731,0.2026633456041878,0.2026633456041878,0.8776767801447227,False,False,False,239.5307681216548,250.1539127432641,191.1186131074491,28103.238393184165,1.7540087377578044e+16,3.267116284741905e+17,199.0,1104.0,0.1802536231884058,19.957202670999298,2.6291683055528188e+16,30.302241605892632,44.7007833284692,316.8092695923454,25536.506994588322,1.5938112104256412e+16,9.22110718458e+16,179.0,592.0,0.30236486486486486,28.19471783162291,5.864166917358681e+16,-2566.7313985958426
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_06.csv,6,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.5168145870452,31.935807725602135,3708.447437056107,3708.447437056107,14832.840446449722,0.2030794921044024,0.2030794921044024,0.8789940901535024,False,False,False,237.479786743121,245.62954278906656,190.23383842365905,27820.971555046483,1.7363916043318986e+16,3.220947921945083e+17,201.0,1117.0,0.17994628469113697,19.957202670999298,2.6299392966422736e+16,27.78266415420694,36.7501072193457,317.09601212624847,25421.531332542167,1.5866352290302958e+16,7.591305412281451e+16,167.0,592.0,0.28209459459459457,28.19471783162291,5.834852812874473e+16,-2399.440222504316
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_07.csv,7,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.360601764917455,31.70844449319149,3712.186943655187,3712.186943655187,14847.797515593631,0.2018310206657556,0.2018310206657556,0.8756966362746771,False,False,False,235.47807735394588,246.58804102742747,191.85383251136577,27937.565450833594,1.7436685846257218e+16,3.232726860610424e+17,202.0,1126.0,0.17939609236234458,19.957202670999298,2.6324838193110484e+16,27.274953299684185,35.581990544001734,317.90455313590434,25443.668462567086,1.5880168747662552e+16,7.231735184995778e+16,171.0,600.0,0.285,28.19471783162291,5.864583097727269e+16,-2493.896988266508
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_08.csv,8,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.29418991069032,31.406843951784502,3692.1891722694195,3692.1891722694195,14767.811549152337,0.20183105260375897,0.20183105260375897,0.8743006160108936,False,False,False,232.48394711645045,241.3397800257552,191.64865692306324,27845.753612441935,1.7379383280440592e+16,3.174098986309241e+17,199.0,1131.0,0.17595048629531387,19.957202670999298,2.629939296596038e+16,24.288685466042736,37.125497831479514,315.56390564745794,25471.76790788187,1.5897706467664326e+16,7.676250784767458e+16,157.0,623.0,0.2520064205457464,28.19471783162291,5.873413992556651e+16,-2373.9857045600656
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_09.csv,9,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,8.0554874,1,-1,True,7.9047679999999945,20.045201553434733,31.181997029863197,3686.584896045813,3686.584896045813,14745.395878860789,0.19725344899432426,0.19725344899432426,0.8721452772078397,False,False,False,232.3686216480167,244.5724864662696,190.79981736435641,28018.66065123453,1.7487299831771414e+16,3.215707069301733e+17,198.0,1159.0,0.17083692838654013,19.957202670999298,2.643280279627364e+16,25.27412632973538,41.12971079373743,312.6384306428532,25477.56957875379,1.5901327467230488e+16,8.451869437479629e+16,160.0,625.0,0.256,28.19471783162291,5.837837720408008e+16,-2541.09107248074
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_10.csv,10,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,8.0554874,1,-1,True,7.9047679999999945,19.956448131140657,31.078099070850456,3677.883055600568,3677.883055600568,14710.59074460837,0.1947565621001245,0.1947565621001245,0.8707441988482131,False,False,False,228.2826935723836,238.64843869113201,191.90883046923136,27717.25861072927,1.7299185634671456e+16,3.135533243195115e+17,196.0,1136.0,0.17253521126760563,19.957202670999298,2.646032614684802e+16,23.47277273489111,36.4686002996004,312.73063438821913,25396.53221547154,1.585074957962434e+16,7.466997127828269e+16,159.0,637.0,0.24960753532182103,28.19471783162291,5.834852812872963e+16,-2320.7263952577305
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_11.csv,11,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.028690931317623,31.368603753524095,3668.5248499555028,3668.5248499555028,14673.160317575403,0.20058258111515928,0.20058258111515928,0.8734874328767043,False,False,False,232.55081003302462,238.86265088216678,191.52189753089894,27933.739020020002,1.7434297654196372e+16,3.143488004063979e+17,195.0,1150.0,0.16956521739130434,19.957202670999298,2.6383303399623776e+16,24.464910258130303,36.10702816781069,313.02100158391386,25400.8943542397,1.5853472123342476e+16,7.476199500959165e+16,161.0,626.0,0.2571884984025559,28.19471783162291,5.865248038837509e+16,-2532.8446657803033
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_12.csv,12,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.11677301047026,31.697440261230735,3647.420654493977,3647.420654493977,14588.74893805751,0.20474407810525588,0.20474407810525588,0.8766579248067732,False,False,False,232.76529959548776,240.39126558558078,190.7407384637061,27661.566298470163,1.7264426365664186e+16,3.137948359093317e+17,200.0,1120.0,0.17857142857142858,19.957202670999298,2.6397266121808988e+16,25.96785169675323,35.688933231058925,312.6388470547516,25244.436291985236,1.5755821879463984e+16,7.314664698705152e+16,155.0,608.0,0.25493421052631576,28.19471783162291,5.863651762847771e+16,-2417.1300064849274
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_13.csv,13,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.17362388989341,31.91777742245443,3668.54430679287,3668.54430679287,14673.23813994424,0.20432789976695087,0.20432789976695087,0.8786302928958779,False,False,False,233.10759922380754,241.64430238738672,190.88834666315287,27812.297253961726,1.73585021477089e+16,3.178410366581703e+17,200.0,1157.0,0.17286084701815038,19.957202670999298,2.6324278833437996e+16,24.948743314491622,34.57300759547962,313.74273513086115,25018.69762681976,1.5614931500351642e+16,7.1121025644343576e+16,163.0,597.0,0.2730318257956449,28.19471783162291,5.8585094873796e+16,-2793.5996271419644
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_14.csv,14,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.20169096987095,31.952154376781078,3657.2871629917195,3657.2871629917195,14628.212446383985,0.20848939660718177,0.20848939660718177,0.8778644891039943,False,False,False,234.0521932259278,241.3397811920478,191.02802501349132,27728.46494013055,1.7306179846303948e+16,3.169229720665617e+17,200.0,1105.0,0.18099547511312217,19.957202670999298,2.6354955498107028e+16,24.661293094627965,37.575456587544004,315.4011296642918,25256.90157239205,1.5763601840778852e+16,7.797581951119432e+16,159.0,597.0,0.2663316582914573,28.19471783162291,5.86867148516124e+16,-2471.5633677385013
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_15.csv,15,127994.47063898804,3999.7440163866904,voltage activity-envelope rising edges,6.399590332739535e-05,7.8973918,1,-1,True,7.9047679999999945,20.06582985992244,31.832870820263548,3664.2431498435544,3664.2431498435544,14656.034613172676,0.2039117532500849,0.2039117532500849,0.8788084006305957,False,False,False,233.43232539853838,241.5476464200897,191.41073598403446,27285.9969330447,1.7030022081227634e+16,3.165389235625248e+17,196.0,1070.0,0.18317757009345795,19.957202670999298,2.635396156658558e+16,25.26441016834677,39.36402292492311,312.8330700459006,25019.97208398443,1.56157269279004e+16,8.182624629758674e+16,164.0,592.0,0.27702702702702703,28.19471783162291,5.863826871902179e+16,-2266.024849060268
