condition,condition_label,material,burst_kHz,polarity,bin_index,bin_left,bin_right,source_x_key,source_y_key,x_median,x_ci_low,x_ci_high,estimate,ci_low,ci_high,n_captures,n_observations,within_capture_statistic,across_capture_statistic,uncertainty,midpoint_s,model_dependent_charge_nC,model_dependent_charge_nC_ci_low,model_dependent_charge_nC_ci_high
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,0,9.300131754655733e-06,0.0008213024811038082,midpoint_s,model_dependent_charge_nC,0.00041744039838635704,0.00039619811735348907,0.0004324672760491147,-108.71650941030606,-116.07836714562288,-102.44964144804918,64,203,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00041744039838635704,-108.71650941030606,-116.07836714562288,-102.44964144804918
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,1,0.0008213024811038082,0.0016333048304529604,midpoint_s,model_dependent_charge_nC,0.0012155348089748898,0.001205526035262734,0.0012298904754102374,-109.98480124833455,-115.1756738859969,-103.63317974981163,64,212,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0012155348089748898,-109.98480124833455,-115.1756738859969,-103.63317974981163
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,2,0.0016333048304529604,0.0024453071798021127,midpoint_s,model_dependent_charge_nC,0.0020505801165865856,0.0020398682868249976,0.002062237664575808,-106.65133396428415,-114.5252645622862,-101.0630227631443,64,209,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0020505801165865856,-106.65133396428415,-114.5252645622862,-101.0630227631443
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,3,0.0024453071798021127,0.0032573095291512652,midpoint_s,model_dependent_charge_nC,0.002853027772247195,0.00283228048864558,0.0028739003525550507,-108.65033137018092,-115.28119215124605,-104.49886353108027,64,207,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.002853027772247195,-108.65033137018092,-115.28119215124605,-104.49886353108027
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,4,0.0032573095291512652,0.004069311878500418,midpoint_s,model_dependent_charge_nC,0.0036656243974959608,0.0036426590480614454,0.0036780928473908615,-108.87847201227859,-113.27447452237575,-105.20923938338399,64,204,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0036656243974959608,-108.87847201227859,-113.27447452237575,-105.20923938338399
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,5,0.004069311878500418,0.00488131422784957,midpoint_s,model_dependent_charge_nC,0.0044645742515156545,0.004454176333424488,0.004478302062328309,-108.52073300545688,-114.69439068241311,-103.44799932809813,64,211,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0044645742515156545,-108.52073300545688,-114.69439068241311,-103.44799932809813
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,6,0.00488131422784957,0.005693316577198723,midpoint_s,model_dependent_charge_nC,0.005296587391540099,0.005285686248873057,0.005309960239370698,-107.78532265385914,-113.33196006758726,-102.11903474589576,64,208,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.005296587391540099,-107.78532265385914,-113.33196006758726,-102.11903474589576
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,7,0.005693316577198723,0.006505318926547875,midpoint_s,model_dependent_charge_nC,0.006100438707435323,0.006081725075194409,0.00611709153110813,-111.25743068681959,-115.29151232189457,-102.11696333925043,64,207,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006100438707435323,-111.25743068681959,-115.29151232189457,-102.11696333925043
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,8,0.006505318926547875,0.007317321275897027,midpoint_s,model_dependent_charge_nC,0.006914301639648244,0.006889216358794191,0.006926324592827406,-111.14320208367745,-115.47853112485643,-102.25484124472588,64,202,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006914301639648244,-111.14320208367745,-115.47853112485643,-102.25484124472588
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,9,0.007317321275897027,0.00812932362524618,midpoint_s,model_dependent_charge_nC,0.0077112824057850495,0.007702670701599882,0.007725674595317331,-111.66878009499399,-116.68135013125308,-103.65082060049546,64,212,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0077112824057850495,-111.66878009499399,-116.68135013125308,-103.65082060049546
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,10,0.00812932362524618,0.008941325974595333,midpoint_s,model_dependent_charge_nC,0.00854906744553591,0.008538188121238945,0.008561484847365654,-110.78139348855339,-116.96063602728806,-104.25028517382594,64,207,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00854906744553591,-110.78139348855339,-116.96063602728806,-104.25028517382594
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,11,0.008941325974595333,0.009753328323944484,midpoint_s,model_dependent_charge_nC,0.009350054888164977,0.009330623240067917,0.009366964623623545,-108.32664766385699,-116.72796359730722,-104.373310989445,64,208,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.009350054888164977,-108.32664766385699,-116.72796359730722,-104.373310989445
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,0,9.300131754655733e-06,0.0008213024811038082,midpoint_s,model_dependent_charge_nC,0.00041421634107249167,0.00039466227967283616,0.00043101873505624214,13.708041430695843,10.366987143289563,15.354060146701435,64,204,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00041421634107249167,13.708041430695843,10.366987143289563,15.354060146701435
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,1,0.0008213024811038082,0.0016333048304529604,midpoint_s,model_dependent_charge_nC,0.0012145070674606628,0.001202294619479515,0.001233124262807703,14.293158348862303,9.732543677429987,16.45699748972151,64,212,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0012145070674606628,14.293158348862303,9.732543677429987,16.45699748972151
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,2,0.0016333048304529604,0.0024453071798021127,midpoint_s,model_dependent_charge_nC,0.002052266452443053,0.002039537064905048,0.0020650261605829083,15.472489431630322,12.57486427664655,18.667835579385326,64,210,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.002052266452443053,15.472489431630322,12.57486427664655,18.667835579385326
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,3,0.0024453071798021127,0.0032573095291512652,midpoint_s,model_dependent_charge_nC,0.0028503859508090847,0.00283270739277764,0.002870794326704597,13.446148791140313,9.905990156936483,15.617630060624009,64,205,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0028503859508090847,13.446148791140313,9.905990156936483,15.617630060624009
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,4,0.0032573095291512652,0.004069311878500418,midpoint_s,model_dependent_charge_nC,0.003661398414532569,0.0036368511036894502,0.003674958060954033,14.33611326820887,10.553453113183725,17.444108612015597,64,204,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.003661398414532569,14.33611326820887,10.553453113183725,17.444108612015597
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,5,0.004069311878500418,0.00488131422784957,midpoint_s,model_dependent_charge_nC,0.004460323157109653,0.0044499477347443315,0.0044739983533297525,15.06536199569323,12.645159319486638,17.301071388046545,64,210,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.004460323157109653,15.06536199569323,12.645159319486638,17.301071388046545
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,6,0.00488131422784957,0.005693316577198723,midpoint_s,model_dependent_charge_nC,0.005295870482696825,0.005285073302864539,0.005308211830906,16.16877227765069,13.301437076298711,19.24318296902473,63,206,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.005295870482696825,16.16877227765069,13.301437076298711,19.24318296902473
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,7,0.005693316577198723,0.006505318926547875,midpoint_s,model_dependent_charge_nC,0.0060987923152786535,0.0060776095523777445,0.006119902080012612,14.937869044498896,10.939864230505009,18.919723640518043,63,204,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0060987923152786535,14.937869044498896,10.939864230505009,18.919723640518043
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,8,0.006505318926547875,0.007317321275897027,midpoint_s,model_dependent_charge_nC,0.006911818036775413,0.006887933009048638,0.006925773416345865,14.24040157349883,11.61324925575547,18.563283094210206,63,200,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006911818036775413,14.24040157349883,11.61324925575547,18.563283094210206
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,9,0.007317321275897027,0.00812932362524618,midpoint_s,model_dependent_charge_nC,0.007711005117107739,0.007700768812903073,0.007726040100175279,12.995136687259276,9.70315825495426,16.056656508684895,63,210,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.007711005117107739,12.995136687259276,9.70315825495426,16.056656508684895
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,10,0.00812932362524618,0.008941325974595333,midpoint_s,model_dependent_charge_nC,0.008545737528375568,0.008534958266043807,0.008560042956588586,10.618121492439982,7.897236958829474,14.962020578952888,63,205,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.008545737528375568,10.618121492439982,7.897236958829474,14.962020578952888
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,11,0.008941325974595333,0.009753328323944484,midpoint_s,model_dependent_charge_nC,0.009348417734080749,0.00932723775459511,0.009368854399102155,12.067649907437868,9.303855463163757,16.49945855213207,63,204,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.009348417734080749,12.067649907437868,9.303855463163757,16.49945855213207
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,0,6.1896524764451575e-06,0.0008316158039367415,midpoint_s,model_dependent_charge_nC,0.00042549474106894775,0.0004180658346650171,0.00043097285726353013,-157.58563087088365,-172.00253486457248,-147.68670251268907,64,520,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00042549474106894775,-157.58563087088365,-172.00253486457248,-147.68670251268907
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,1,0.0008316158039367415,0.001657041955397038,midpoint_s,model_dependent_charge_nC,0.0012451092798798043,0.001236757022656527,0.0012500124057995869,-156.33973725202182,-172.6762610155999,-145.40996898935725,64,529,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0012451092798798043,-156.33973725202182,-172.6762610155999,-145.40996898935725
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,2,0.001657041955397038,0.002482468106857334,midpoint_s,model_dependent_charge_nC,0.002069629216500094,0.0020606298716888097,0.0020759903388786827,-158.31172393783905,-173.19235527040718,-148.21743637196462,64,529,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.002069629216500094,-158.31172393783905,-173.19235527040718,-148.21743637196462
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,3,0.002482468106857334,0.0033078942583176303,midpoint_s,model_dependent_charge_nC,0.0028965348965233756,0.0028872657033788846,0.0029016750439458837,-157.42520735866893,-171.8676751555467,-144.10986609713652,64,523,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0028965348965233756,-157.42520735866893,-171.8676751555467,-144.10986609713652
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,4,0.0033078942583176303,0.004133320409777927,midpoint_s,model_dependent_charge_nC,0.003722078071708143,0.003712510151558172,0.0037290539804015537,-159.5022017858587,-170.89816813704385,-146.32985442016644,64,522,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.003722078071708143,-159.5022017858587,-170.89816813704385,-146.32985442016644
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,5,0.004133320409777927,0.004958746561238223,midpoint_s,model_dependent_charge_nC,0.004544874119709322,0.004536421264744694,0.004549639705046036,-157.0738915935481,-173.20544621503933,-145.80873712075578,64,525,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.004544874119709322,-157.0738915935481,-173.20544621503933,-145.80873712075578
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,6,0.004958746561238223,0.00578417271269852,midpoint_s,model_dependent_charge_nC,0.0053696281221149705,0.0053615600012272245,0.005376683129320708,-156.92024060497084,-172.77021096314283,-145.05825814760067,64,526,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0053696281221149705,-156.92024060497084,-172.77021096314283,-145.05825814760067
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,7,0.00578417271269852,0.006609598864158816,midpoint_s,model_dependent_charge_nC,0.006199624430867251,0.006194621130598917,0.0062059877819662795,-156.50072706129401,-171.1588757314022,-145.40110481899373,64,528,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006199624430867251,-156.50072706129401,-171.1588757314022,-145.40110481899373
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,8,0.006609598864158816,0.007435025015619112,midpoint_s,model_dependent_charge_nC,0.0070254460742878045,0.007018851206976835,0.007032824166484685,-158.09979506526716,-170.6739034444851,-146.4999496470922,64,517,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0070254460742878045,-158.09979506526716,-170.6739034444851,-146.4999496470922
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,9,0.007435025015619112,0.008260451167079408,midpoint_s,model_dependent_charge_nC,0.007844482653802352,0.007836027846207178,0.007849444728275309,-156.44518383362382,-169.9181577664774,-145.16045961856918,64,521,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.007844482653802352,-156.44518383362382,-169.9181577664774,-145.16045961856918
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,10,0.008260451167079408,0.009085877318539704,midpoint_s,model_dependent_charge_nC,0.008674010749575056,0.008666580792522796,0.008679400213151786,-158.15918882596907,-168.4767107457306,-146.16694770566716,64,529,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.008674010749575056,-158.15918882596907,-168.4767107457306,-146.16694770566716
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,11,0.009085877318539704,0.00991130347,midpoint_s,model_dependent_charge_nC,0.009501759973809575,0.009495774049864035,0.009507944531722054,-158.2510213430714,-167.7871252228263,-148.85680269496325,64,528,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.009501759973809575,-158.2510213430714,-167.7871252228263,-148.85680269496325
