condition,condition_label,material,burst_kHz,polarity,n_captures,n_observations,early_window,late_window,within_capture_statistic,across_capture_statistic,uncertainty,first_quintile_nC,first_quintile_nC_ci_low,first_quintile_nC_ci_high,last_quintile_nC,last_quintile_nC_ci_low,last_quintile_nC_ci_high,absolute_drift_nC,absolute_drift_nC_ci_low,absolute_drift_nC_ci_high,relative_drift_fraction,relative_drift_fraction_ci_low,relative_drift_fraction_ci_high,slope_nC_per_s,slope_nC_per_s_ci_low,slope_nC_per_s_ci_high,relative_drift_percent,relative_drift_percent_ci_low,relative_drift_percent_ci_high,stationarity_status
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,64,2490,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-108.87798984020353,-115.63093593747773,-104.71054592121418,-109.46763754593985,-113.26239233451761,-104.69361036525463,-0.2450875048490886,-1.7358559391767798,3.166419834964408,-0.0022590398999067915,-0.017081901708406746,0.030477897557925522,22.953868336643808,-291.76893053250194,206.94939318109724,-0.22590398999067915,-1.7081901708406746,3.0477897557925524,no_first_to_last_change_resolved_at_95_percent_CI
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,64,2474,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,14.251590396206932,12.011777593546952,15.766973040146446,13.231663599705083,9.882499826513133,15.827784009708385,-0.5591924755580777,-2.0942529300957275,0.992054509655425,-0.034161129695503785,-0.15746040857831145,0.05548330146238997,13.90823245414866,-207.61352160665282,244.20109877752088,-3.4161129695503787,-15.746040857831145,5.548330146238997,no_first_to_last_change_resolved_at_95_percent_CI
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,64,6297,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-156.74080396949176,-173.46385499015094,-146.11295258398223,-157.71440917071266,-167.1729980487649,-146.98191794657487,0.7545139391247346,-0.8740052507671123,2.413708168819104,0.004807047314264769,-0.004706959563444718,0.015189027582839954,98.07081875665708,-89.47228598181317,330.0558831702256,0.48070473142647685,-0.4706959563444718,1.5189027582839953,no_first_to_last_change_resolved_at_95_percent_CI
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,positive,64,6261,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-40.51811825119492,-47.400586179713926,-36.54235097415215,-42.22367785979149,-46.06118858875148,-36.640695751361555,0.7725117372627714,-0.043611948607324535,2.8098638026400096,0.022645497796665654,5.638898148513285e-05,0.06618144255430193,206.33157896629348,-3.5322931859511986,289.01495758825746,2.2645497796665652,0.005638898148513285,6.6181442554301935,no_first_to_last_change_resolved_at_95_percent_CI
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20.0,negative,64,12680,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-357.0683229478303,-357.90083274388667,-356.30003752025146,-357.4428410633089,-358.23120664655045,-356.4123312537519,0.09107577941742306,-0.5183754394552693,0.9391318261093602,0.00025317224505753397,-0.0014642567369898727,0.0026307793454689887,43.35838341775276,-99.89446872685829,93.97388817539375,0.025317224505753397,-0.14642567369898726,0.2630779345468989,no_first_to_last_change_resolved_at_95_percent_CI
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20.0,positive,64,12656,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-345.96994709833757,-346.83260209976413,-344.12599641073336,-346.84010558676596,-347.2686172398404,-345.94051329320604,-1.0882164712594715,-2.143603513316407,0.29344309921231115,-0.003134353809986636,-0.00619194108250095,0.0008460580022404884,-1690.4195298783354,-3021.077154869139,-1021.332105121521,-0.3134353809986636,-0.619194108250095,0.08460580022404884,no_first_to_last_change_resolved_at_95_percent_CI
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4.0,negative,64,2496,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-312.8242858953647,-314.52745606158385,-310.7443728842526,-313.4216718460744,-315.15009623269094,-310.4170207590047,-1.1814004680117307,-2.48069058523339,0.9287724773015213,-0.003766077049664256,-0.00796079772158061,0.0029548251695625796,-73.8382286574826,-229.47177213379655,82.3035435129164,-0.3766077049664256,-0.796079772158061,0.29548251695625793,no_first_to_last_change_resolved_at_95_percent_CI
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4.0,positive,64,2496,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-108.13980623021465,-108.62446412919547,-106.544069593956,-107.61916258161372,-108.61873216126827,-106.32217192103002,-0.21348409757469966,-1.0646228029397804,1.4267389690146355,-0.0019668894748492245,-0.009952504506769946,0.013234975399373261,14.889651074968079,-109.32878344164376,118.81955326553589,-0.19668894748492244,-0.9952504506769946,1.323497539937326,no_first_to_last_change_resolved_at_95_percent_CI
pure_water_10kHz,"Pure water, 10 kHz",pure_water,10.0,negative,64,6336,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-298.7618320828453,-299.58192023772233,-298.12104677919535,-298.58254702122736,-298.9217210895215,-298.30826828947244,0.4798862501743315,-0.11564347556361554,1.2956233905202907,0.001610374332822836,-0.0003862729983805374,0.0043246143406393805,34.4641060132557,-33.201155795837984,109.86930590443234,0.1610374332822836,-0.03862729983805374,0.43246143406393805,no_first_to_last_change_resolved_at_95_percent_CI
pure_water_10kHz,"Pure water, 10 kHz",pure_water,10.0,positive,64,6319,first_20_percent_of_each_capture_time_span,last_20_percent_of_each_capture_time_span,median,median,95_percent_circular_moving_block_bootstrap_over_captures,-129.05572646237263,-129.73743721281542,-127.85634235191122,-128.7879232530821,-129.26483047365429,-127.69791587218998,0.06121619539541712,-0.5586687413369589,1.454647374303832,0.0004886749045175881,-0.004321129374456526,0.011192860560840023,-19.864444293911937,-86.55318516701975,92.34902939466019,0.04886749045175881,-0.43211293744565255,1.1192860560840023,no_first_to_last_change_resolved_at_95_percent_CI
