member,level_label,carrier_Hz,record_duration_s,voltage_pp_kV,q_sign,current_sign,monitor_Cprime_pF,monitor_Closs_pF,monitor_tan_delta,monitor_phase_deg,current_Creactive_pF,current_G_uS,current_monitor_gain_ratio,current_monitor_phase_error_deg,monitor_x_Uqpp_kV,monitor_y_Qpp_nC,current_x_Uqpp_kV,current_y_Qpp_nC,skipped_rows,clipping_flag,quiet_both_edges
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,MAX,127994.47063898804,0.01000032746,8.05825191766,1,-1,6.171486153985076,46.105074189033196,7.470659908920326,-82.37587978176697,93.62190628842689,-3.4786443397553395,2.0148163134848205,85.02118244949406,-3.384853330092001,505.51180919999996,7.899792882668001,931.6154804360019,0,False,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_05.csv,MAX,127994.47063898804,0.01000032746,7.900314105580001,1,-1,12.688106987854665,50.47754348387417,3.978335265630435,-75.89036493190622,97.13052160025286,-7.17781132087588,1.8740423700704956,81.14049397229894,-3.2584243647,508.67372099999994,7.805077610552001,930.341892454677,0,False,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_09.csv,MAX,127994.47063898804,0.01000032746,8.05817286998,1,-1,8.807179139988042,48.96689208033043,5.559883738256392,-79.80380301906499,96.42404330206315,-5.197436014724789,1.9424180507438114,83.63828153439567,-3.353218353044,507.09276280000006,7.836740939346001,932.5532165431722,0,False,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_14.csv,MAX,127994.47063898804,0.01000032746,7.900314105580001,1,-1,11.712098408719427,50.52690029263845,4.314077505959322,-76.94936317796474,97.33839938637416,-7.527503083651711,1.8853647221126026,82.44205230441503,-3.258717827796,508.6675652,7.804998685848001,929.1309324465652,0,False,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_18.csv,MAX,127994.47063898804,0.01000032746,7.90047220106,1,-1,9.281595607356074,49.549374182478275,5.338454321712551,-79.39030039171563,96.57779684647548,-5.879784320888441,1.9212824443540923,83.71950459657938,-3.38474615314,507.09276279999995,7.836586309788001,932.1013523432233,0,False,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_22.csv,MAX,127994.47063898804,0.01000032746,7.90047220106,1,-1,12.932652154601364,49.79059969858753,3.8499914096021146,-75.43969327338625,96.74861373818638,-6.685806755938073,1.8876348063435113,80.35097813057212,-3.32169411226,513.4042748,7.836523071584001,931.8640899008993,0,False,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_26.csv,MAX,127994.47063898804,0.01000032746,7.90047220106,1,-1,11.841468798874299,49.76990732965732,4.203018069379085,-76.61677290731635,96.61330676814802,-6.352688673699101,1.8947851278084875,81.29097219885722,-3.2584085296520002,511.8294724,7.8364756429160005,932.1687232644606,0,False,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_30.csv,MAX,127994.47063898804,0.01000032746,7.9003931533800005,1,-1,12.687412388971639,50.29806792155748,3.9644071130909553,-75.84278345594015,96.9752033557817,-6.440547430591094,1.8758174289140128,80.56373186320968,-3.258392731628,513.4104259999999,7.8364914524880005,932.9371112727973,0,False,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_35.csv,MAX,127994.47063898804,0.01000032746,7.90047220106,1,-1,12.897733432184205,50.541894299931855,3.918664823217135,-75.6842830318912,97.03847642877834,-6.615470485400605,1.8670147662870737,80.529701136869,-3.1953723853780005,513.4104306,7.836523071596001,932.1095099512293,0,False,False
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_39.csv,MAX,127994.47063898804,0.01000032746,7.900314105580001,1,-1,13.700661069131465,51.09471293274902,3.7293611362935573,-74.9896698549587,97.16479803245832,-7.349700530989513,1.8448810008724887,80.36291240551992,-3.22683682826,513.4104259999999,7.805046128004,931.9724885891055,0,False,False
