material,burst_kHz,route,scan_source,extrapolated_across_burst_frequency,calibration_valid,model_identifiable,reported_status,rate_status,rate_reason,rate_factor_lower,rate_factor_upper_apparent,rate_lower_F1_status,rate_lower_F1_files_analyzed,rate_lower_F1_results_negative_charge_per_active_half_cycle_median_nC,rate_lower_F1_results_negative_charge_per_half_cycle_p95_nC,rate_lower_F1_results_negative_corrected_charge_total_nC,rate_lower_F1_results_negative_half_cycle_average_equivalent_rate_p95_per_s,rate_lower_F1_results_negative_half_cycles,rate_lower_F1_results_negative_record_average_equivalent_rate_per_s,rate_lower_F1_results_polarity_charge_imbalance_nC,rate_lower_F1_results_positive_charge_per_active_half_cycle_median_nC,rate_lower_F1_results_positive_charge_per_half_cycle_p95_nC,rate_lower_F1_results_positive_corrected_charge_total_nC,rate_lower_F1_results_positive_half_cycle_average_equivalent_rate_p95_per_s,rate_lower_F1_results_positive_half_cycles,rate_lower_F1_results_positive_record_average_equivalent_rate_per_s,rate_lower_F1_retained_charge_status,rate_upper_Fapp_status,rate_upper_Fapp_files_analyzed,rate_upper_Fapp_results_negative_charge_per_active_half_cycle_median_nC,rate_upper_Fapp_results_negative_charge_per_half_cycle_p95_nC,rate_upper_Fapp_results_negative_corrected_charge_total_nC,rate_upper_Fapp_results_negative_half_cycle_average_equivalent_rate_p95_per_s,rate_upper_Fapp_results_negative_half_cycles,rate_upper_Fapp_results_negative_record_average_equivalent_rate_per_s,rate_upper_Fapp_results_polarity_charge_imbalance_nC,rate_upper_Fapp_results_positive_charge_per_active_half_cycle_median_nC,rate_upper_Fapp_results_positive_charge_per_half_cycle_p95_nC,rate_upper_Fapp_results_positive_corrected_charge_total_nC,rate_upper_Fapp_results_positive_half_cycle_average_equivalent_rate_p95_per_s,rate_upper_Fapp_results_positive_half_cycles,rate_upper_Fapp_results_positive_record_average_equivalent_rate_per_s,rate_upper_Fapp_retained_charge_status,rate_files_analyzed,rate_results_negative_charge_per_active_half_cycle_median_nC,rate_results_negative_charge_per_half_cycle_p95_nC,rate_results_negative_corrected_charge_total_nC,rate_results_negative_half_cycle_average_equivalent_rate_p95_per_s,rate_results_negative_half_cycles,rate_results_negative_record_average_equivalent_rate_per_s,rate_results_polarity_charge_imbalance_nC,rate_results_positive_charge_per_active_half_cycle_median_nC,rate_results_positive_charge_per_half_cycle_p95_nC,rate_results_positive_corrected_charge_total_nC,rate_results_positive_half_cycle_average_equivalent_rate_p95_per_s,rate_results_positive_half_cycles,rate_results_positive_record_average_equivalent_rate_per_s,rate_retained_charge_status
5mM_Mn_nitrate_in_water,4,monitor,5mM_Mn_nitrate_in_water_20kHz,True,True,False,provisional_not_for_absolute_reporting,not_identifiable,Cd is not safely greater than Ccell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5mM_Mn_nitrate_in_water,4,current,5mM_Mn_nitrate_in_water_20kHz,True,False,True,provisional_not_for_absolute_reporting,sensitivity_range,Pearson passive/active slopes include an unmeasured parallel capacitance; the physical correction factor cannot be isolated.,1.0,2.1784148597935387,provisional,16,36.472941550931814,428.12586227793247,90509.37973544575,5.721469089895405e+17,1244.5,5.648966168379847e+16,-138433.87665508915,-29.03485051119581,-17.374783295476995,-47951.50982064048,-3.075411280161876e+16,599.0,-2.992799834572837e+16,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,provisional,16,79.45319785493106,932.6357402481701,197166.97776639118,1.2463733285277563e+18,1244.5,1.2305791843669629e+17,-301566.4140042721,-63.24994980547298,-37.84948611655964,-104458.28154281905,-6.699521632681301e+16,599.0,-6.519559632021114e+16,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,,,,,,,,,,,,,,,
5mM_Mn_nitrate_in_water,10,monitor,5mM_Mn_nitrate_in_water_20kHz,True,True,False,provisional_not_for_absolute_reporting,not_identifiable,Cd is not safely greater than Ccell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5mM_Mn_nitrate_in_water,10,current,5mM_Mn_nitrate_in_water_20kHz,True,False,True,provisional_not_for_absolute_reporting,sensitivity_range,Pearson passive/active slopes include an unmeasured parallel capacitance; the physical correction factor cannot be isolated.,1.0,2.1784148597935387,provisional,16,133.29658362748245,650.4092215488752,100202.31301561803,8.614769192445801e+17,1200.0,6.253931668442963e+16,-109441.45270850314,26.639159059926776,34.09297127856392,-10417.16212096515,5.632392592188827e+16,1126.0,-6501668287183560.0,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,provisional,16,290.3752585338199,1416.8611131688176,218282.20765890583,1.8766541222515512e+18,1200.0,1.3623657678669549e+17,-238408.88685759506,58.03113994854816,74.26863524773796,-22692.90076118886,1.226968771901519e+17,1126.0,-1.4163330810249072e+16,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,,,,,,,,,,,,,,,
5mM_Mn_nitrate_in_water,20,monitor,5mM_Mn_nitrate_in_water_20kHz,False,True,False,provisional_not_for_absolute_reporting,not_identifiable,Cd is not safely greater than Ccell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5mM_Mn_nitrate_in_water,20,current,5mM_Mn_nitrate_in_water_20kHz,False,False,True,provisional_not_for_absolute_reporting,sensitivity_range,Pearson passive/active slopes include an unmeasured parallel capacitance; the physical correction factor cannot be isolated.,1.0,2.1784148597935387,provisional,16,404.6291072586667,769.4737493397577,311769.73538839666,1.0902281412350444e+18,956.0,1.9458499137676326e+17,-664083.8359751443,-232.7701780236998,-171.8429454004049,-352953.58787783084,-1.9935207051536448e+17,1199.5,-2.2028908857380214e+17,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,provisional,16,881.4500599572731,1676.2330497827766,679163.8244039827,2.3749691834315095e+18,956.0,4.238868367079386e+17,-1446650.0964369494,-507.07001472361503,-374.34522581093177,-768879.3406505114,-4.3427151274127936e+17,1199.5,-4.7988102399954566e+17,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,,,,,,,,,,,,,,,
BMIM_nitrate,4,monitor,BMIM_nitrate_20kHz,True,True,False,provisional_not_for_absolute_reporting,not_identifiable,Cd is not safely greater than Ccell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMIM_nitrate,4,current,BMIM_nitrate_20kHz,True,False,True,provisional_not_for_absolute_reporting,sensitivity_range,Pearson passive/active slopes include an unmeasured parallel capacitance; the physical correction factor cannot be isolated.,1.0,1.5362058745480325,provisional,16,-79.19910777795654,-64.76246765053861,-120820.06304438833,-9.481122534910312e+16,1269.0,-7.540748269341885e+16,188730.41408932646,41.301171982417756,306.42702933092704,67924.37489487226,4.6621069240899936e+17,1011.5,4.239367200515853e+16,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,provisional,16,-121.6661346274596,-99.48848325498432,-185604.49061205302,-1.4564956135438957e+17,1269.0,-1.1584141789850914e+17,289928.7708299061,63.447103025108774,470.7350025784724,104345.82373850567,7.161956044558107e+17,1011.5,6.5125407977987e+16,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,,,,,,,,,,,,,,,
BMIM_nitrate,10,monitor,BMIM_nitrate_20kHz,True,True,False,provisional_not_for_absolute_reporting,not_identifiable,Cd is not safely greater than Ccell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMIM_nitrate,10,current,BMIM_nitrate_20kHz,True,False,True,provisional_not_for_absolute_reporting,sensitivity_range,Pearson passive/active slopes include an unmeasured parallel capacitance; the physical correction factor cannot be isolated.,1.0,1.5362058745480325,provisional,16,-11.941962292644236,-3.2096793638771066,-56678.456479228975,-5976537961858098.0,1199.0,-3.537475166253577e+16,69653.83374676006,95.05687905080009,242.67603456975587,15679.524854843881,3.4680978559029325e+17,1165.0,9786069211851706.0,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,provisional,16,-18.345312627591163,-4.930728294203602,-87069.77780370656,-9181192726465740.0,1199.0,-5.434290131466523e+16,107002.62858656481,146.02693601404087,372.8003499180804,24086.978192133058,5.3277122997455194e+17,1165.0,1.5033417011980224e+16,Unavailable: records do not contain quiet pre- and post-burst windows. Polarity imbalance is not the same as retained surface charge.,,,,,,,,,,,,,,,
