condition,condition_material,condition_burst_kHz,complete_scan,files_analyzed,monitor_qv_passive_valid,monitor_kcl_with_pearson_valid,monitor_Cprime_pF,monitor_Closs_pF,monitor_tan_delta,monitor_phase_abs_median_deg,monitor_Cprime_relative_span,pearson_to_monitor_gain_ratio,pearson_to_monitor_phase_error_deg,interpretation,route,off_qpp_fit_slope,off_qpp_fit_intercept,off_qpp_fit_r_squared,off_qpp_fit_n,on_qmax_fit_slope,on_qmax_fit_intercept,on_qmax_fit_r_squared,on_qmax_fit_n,Ccell_pF,Cd_effective_high_field_pF,Cd_global_pF,Cd_high_field_secant_pF,gas_charge_correction_factor,model_identifiable
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,,,,0,,,,1,,,,,,False
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,,,,0,,,,1,,,,,,False
5mM_Mn_nitrate_in_water_10kHz,5mM_Mn_nitrate_in_water,10,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,,,,0,,,,1,,,,,,False
5mM_Mn_nitrate_in_water_10kHz,5mM_Mn_nitrate_in_water,10,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,,,,0,,,,1,,,,,,False
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,True,128,True,False,23.08093576138675,17.16721020763864,0.7442960730415233,36.66016522453233,0.026034912668988636,2.615339764283405,35.96795785188422,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,26.535027500648457,46.600212460254276,0.6665183568411164,3,-11.397317889775712,501.9262830581955,0.7988207759400717,3,23.08093576138675,-17.70514957436073,-11.397317889775712,-17.70514957436073,,False
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,True,128,True,False,23.08093576138675,17.16721020763864,0.7442960730415233,36.66016522453233,0.026034912668988636,2.615339764283405,35.96795785188422,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,77.37740906952475,1.1054962001602862,0.9998467779166555,3,128.91016167227392,-85.33092550715976,0.9975771189624185,3,75.31991132196981,139.23620590702456,128.91016167227392,139.23620590702456,2.1784148597935387,True
BMIM_nitrate_4kHz,BMIM_nitrate,4,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,,,,0,,,,1,,,,,,False
BMIM_nitrate_4kHz,BMIM_nitrate,4,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,,,,0,,,,1,,,,,,False
BMIM_nitrate_10kHz,BMIM_nitrate,10,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,,,,0,,,,1,,,,,,False
BMIM_nitrate_10kHz,BMIM_nitrate,10,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,,,,0,,,,1,,,,,,False
