"condition","independent_complete_scan","Ccell_status","Ccell_reactive_pF","Ccell_loss_pF","loss_tangent","Cd_status","Cd_effective_pF","surface_charge_status","retained_charge_status","note"
"5mM_Mn_nitrate_in_water_4kHz","False","no_independent_scan",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
"5mM_Mn_nitrate_in_water_10kHz","False","no_independent_scan",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
"5mM_Mn_nitrate_in_water_20kHz","True","supported_effective_complex_at_carrier","23.08093576138675","17.16721020763864","0.7442960730415233","not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","Ccell is a carrier-frequency complex effective value, not a classical burst-wide Q-V slope."
"BMIM_nitrate_4kHz","False","no_independent_scan",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
"BMIM_nitrate_10kHz","False","no_independent_scan",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
"BMIM_nitrate_20kHz","True","supported_effective_complex_at_carrier","27.853206436138052","9.416831507286236","0.3378634149262113","not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","Ccell is a carrier-frequency complex effective value, not a classical burst-wide Q-V slope."
"argon_only_4kHz","True","failed_passive_QV_validation",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
"argon_only_10kHz","True","failed_passive_QV_validation",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
"argon_only_20kHz","True","failed_passive_QV_validation",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
"pure_water_4kHz","True","failed_passive_QV_validation",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
"pure_water_10kHz","False","no_independent_scan",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
"pure_water_20kHz","False","no_independent_scan",,,,"not_identifiable",,"not_identifiable","not_measured_no_quiet_record_edges","No scalar capacitance passed the passive orientation/amplitude-stability checks."
